family,ticker,label,date,value,method,source,n_items,coverage_weight,status
IVE,IVE,iShares S&P 500 Value ETF,2026-04-29,0.04185074367515988,P/E estimate,Yahoo Finance,,,available
IVV,IVV,iShares Core S&P 500 ETF,2026-04-29,0.03544151013155818,P/E estimate,Yahoo Finance,,,available
IVW,IVW,iShares S&P 500 Growth ETF,2026-04-29,0.030037137917320978,P/E estimate,Yahoo Finance,,,available
IWD,IWD,iShares Russell 1000 Value ETF,2026-04-29,0.04483058119889706,P/E estimate,Yahoo Finance,,,available
IYW,IYW,iShares U.S. Technology ETF,2026-04-29,0.026941045771651358,P/E estimate,Yahoo Finance,,,available
SPY,SPY,State Street SPDR S&P 500 ETF,2026-04-29,1.0,P/E estimate,Provider page,,,available
