family,ticker,label,date,value,method,source,n_items,coverage_weight,status
IVE,IVE,iShares S&P 500 Value ETF,2026-05-05,0.04131031186765531,P/E estimate,Yahoo Finance,,,available
IVV,IVV,iShares Core S&P 500 ETF,2026-05-05,0.03485210682728376,P/E estimate,Yahoo Finance,,,available
IVW,IVW,iShares S&P 500 Growth ETF,2026-05-05,0.029443021937554003,P/E estimate,Yahoo Finance,,,available
IWD,IWD,iShares Russell 1000 Value ETF,2026-05-05,0.04387226047347119,P/E estimate,Yahoo Finance,,,available
IYW,IYW,iShares U.S. Technology ETF,2026-05-05,0.025835552779554113,P/E estimate,Yahoo Finance,,,available
SPY,SPY,State Street SPDR S&P 500 ETF,2026-05-05,1.0,P/E estimate,Provider page,,,available
