family,ticker,label,date,value,method,source,n_items,coverage_weight,status,__source_file
IVE,IVE,iShares S&P 500 Value ETF,2026-04-28,0.0419856843931065,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0428.csv
IVV,IVV,iShares Core S&P 500 ETF,2026-04-28,0.0354380411211689,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0428.csv
IVW,IVW,iShares S&P 500 Growth ETF,2026-04-28,0.0299627263683977,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0428.csv
IWD,IWD,iShares Russell 1000 Value ETF,2026-04-28,0.0448286117000345,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0428.csv
IYW,IYW,iShares U.S. Technology ETF,2026-04-28,0.0270198762532899,P/E estimate,Yahoo Finance,,,available,data/library/etf/daily/202604/etf_2026_0428.csv
SPY,SPY,State Street SPDR S&P 500 ETF,2026-04-28,1.0,P/E estimate,Provider page,,,available,data/library/etf/daily/202604/etf_2026_0428.csv
