family,ticker,label,date,value,method,source,n_items,coverage_weight,status,__source_file
China,MCHI,iShares MSCI China ETF,2026-04-29,0.0784424283171518,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0429.csv
China,MCHI,iShares MSCI China ETF,2026-05-05,0.0779077772918929,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202605/country_2026_0505.csv
Germany,EWG,iShares MSCI Germany ETF,2026-04-29,0.0573095788949452,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0429.csv
Germany,EWG,iShares MSCI Germany ETF,2026-05-05,0.0558900263130243,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202605/country_2026_0505.csv
India,INDA,iShares MSCI India ETF,2026-04-29,0.0439962904087778,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0429.csv
India,INDA,iShares MSCI India ETF,2026-05-05,0.04387994552217,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202605/country_2026_0505.csv
Japan,EWJ,iShares MSCI Japan ETF,2026-04-29,0.0561471878316017,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202604/country_2026_0429.csv
Japan,EWJ,iShares MSCI Japan ETF,2026-05-05,0.0546060652922538,P/E estimate,Yahoo Finance,,,available,data/library/country/daily/202605/country_2026_0505.csv
