date,ticker,label,category,country,vw_icc,coverage_weight,n_holdings,n_matched,status
2026-01-28,SPY,SPDR S&P 500,,United States,,0.0,10,0,no_match
2026-01-28,EWJ,iShares MSCI Japan,,Japan,,0.0,10,0,no_match
2026-01-28,EWG,iShares MSCI Germany,,Germany,,0.0,10,0,no_match
2026-01-28,EWU,iShares MSCI United Kingdom,,United Kingdom,,0.0,10,0,no_match
2026-01-28,EWQ,iShares MSCI France,,France,,0.0,10,0,no_match
2026-01-28,EWC,iShares MSCI Canada,,Canada,,0.0,10,0,no_match
2026-01-28,EWA,iShares MSCI Australia,,Australia,,0.0,10,0,no_match
2026-01-28,INDA,iShares MSCI India,,India,,0.0,10,0,no_match
2026-01-28,MCHI,iShares MSCI China,,China,,0.0,10,0,no_match
2026-01-28,EWZ,iShares MSCI Brazil,,Brazil,,0.0,10,0,no_match
