country,month,month_end_date,icc,method,n_candidates,n_selected,n_icc_available,coverage_mktcap,status,source_file
Philippines,2026-05,2026-05-12,0.1086729129238922,Partial ADR estimate,,2,2,1.0,partial_adr_estimate,data/derived/country_adr/202605/country_adr_icc_2026_05_12.csv
Portugal,2026-05,2026-05-07,0.079156360279349,Partial ADR estimate,7.0,7,2,1.0,partial_adr_composite,data/derived/country_adr/202605/country_adr_icc_2026_0507.csv
S. Africa,2026-05,2026-05-07,0.2486210887662408,ADR Top-10 ICC calculation,41.0,25,5,1.0,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_0507.csv
Singapore,2026-05,2026-05-14,0.0208322358429817,ADR Top-10 ICC calculation,,10,6,0.7664697481724213,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Singapore,2026-04,2026-04-23,0.1643130768761475,Partial ADR estimate,12.0,10,6,0.991149585240037,partial_adr_estimate,data/derived/country_adr/202604/country_adr_icc_2026_04_23.csv
South Africa,2026-05,2026-05-14,0.1265059410797409,ADR Top-10 ICC calculation,,5,5,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
South Korea,2026-05,2026-05-14,0.2003436083285262,ADR Top-10 ICC calculation,,8,8,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
South Korea,2026-04,2026-04-23,0.0383106908780968,Partial ADR estimate,6.0,6,5,0.994338128571,partial_adr_estimate,data/derived/country_adr/202604/country_adr_icc_2026_04_23.csv
Spain,2026-05,2026-05-14,0.1090717443918149,Partial ADR estimate,,4,3,0.9996275259029316,partial_adr_estimate,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Sweden,2026-05,2026-05-14,0.0683759858096004,Partial ADR estimate,,2,2,1.0,partial_adr_estimate,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Switzerland,2026-05,2026-05-14,0.0972946015721774,ADR Top-10 ICC calculation,,8,6,0.993910223345995,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Taiwan,2026-05,2026-05-14,0.0859202603997453,ADR Top-10 ICC calculation,,6,6,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
Thailand,2026-05,2026-05-04,0.189291195368269,Partial ADR estimate,39.0,25,2,0.1540826581376781,partial_adr_composite,data/derived/country_adr/202605/country_adr_icc_2026_05_04.csv
Turkey,2026-05,2026-05-12,0.302480024595738,Partial ADR estimate,,2,2,1.0,partial_adr_estimate,data/derived/country_adr/202605/country_adr_icc_2026_05_12.csv
United Kingdom,2026-05,2026-05-14,0.0839739528752907,ADR Top-10 ICC calculation,,10,10,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
United Kingdom,2026-04,2026-04-23,0.0824416320199142,ADR Top-10 ICC calculation,26.0,10,10,1.0,icc_calculation,data/derived/country_adr/202604/country_adr_icc_2026_04_23.csv
United States,2026-05,2026-05-14,0.0869058964882778,ADR Top-10 ICC calculation,,10,8,0.9874095333929688,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_14.csv
