date,ticker,family,label,category,url,allow_holdings,value,method,coverage_weight,n_items,n_matched,status
2026-04-16,EWA,EWA,iShares MSCI Australia ETF,,https://www.ishares.com/us/products/239602/ishares-msci-australia-etf,0,0.0457663599862884,P/E estimate,,,,P/E estimate
2026-04-16,EWC,EWC,iShares MSCI Canada ETF,,https://www.ishares.com/us/products/239615/ishares-msci-canada-etf,0,0.050032193214724,P/E estimate,,,,P/E estimate
2026-04-16,EWG,EWG,iShares MSCI Germany ETF,,https://www.ishares.com/us/products/239623/ishares-msci-germany-etf,0,0.0559296002935185,P/E estimate,,,,P/E estimate
2026-04-16,EWH,EWH,iShares MSCI Hong Kong ETF,,https://www.ishares.com/us/products/239636/ishares-msci-hong-kong-etf,0,0.0542955960842016,P/E estimate,,,,P/E estimate
2026-04-16,EWJ,EWJ,iShares MSCI Japan ETF,,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf,0,0.054514450690589,P/E estimate,,,,P/E estimate
2026-04-16,EWQ,EWQ,iShares MSCI France ETF,,https://www.ishares.com/us/products/239677/ishares-msci-france-etf,0,0.0529582224763275,P/E estimate,,,,P/E estimate
2026-04-16,EWU,EWU,iShares MSCI United Kingdom ETF,,https://www.ishares.com/us/products/239690/ishares-msci-united-kingdom-etf,0,0.052572128171269,P/E estimate,,,,P/E estimate
2026-04-16,EWZ,EWZ,iShares MSCI Brazil ETF,,https://www.ishares.com/us/products/239612/ishares-msci-brazil-etf,0,0.0725607050114196,P/E estimate,,,,P/E estimate
2026-04-16,INDA,INDA,iShares MSCI India ETF,,https://www.ishares.com/us/products/239659/ishares-msci-india-etf,0,0.0431427602565441,P/E estimate,,,,P/E estimate
2026-04-16,MCHI,MCHI,iShares MSCI China ETF,,https://www.ishares.com/us/products/239619/ishares-msci-china-etf,0,0.0759564377676372,P/E estimate,,,,P/E estimate
