family,label,date,value,method,source,n_items,coverage_weight,status
Basic Materials,Basic Materials,2026-04-22,0.0807952004748071,ICC calculation,Constituent ICC aggregation,168,,available
Communication Services,Communication Services,2026-04-22,0.06880332716057048,ICC calculation,Constituent ICC aggregation,119,,available
Consumer Cyclical,Consumer Cyclical,2026-04-22,0.09386419072925054,ICC calculation,Constituent ICC aggregation,333,,available
Consumer Defensive,Consumer Defensive,2026-04-22,0.07192996416958013,ICC calculation,Constituent ICC aggregation,135,,available
Energy,Energy,2026-04-22,0.08187882267542788,ICC calculation,Constituent ICC aggregation,186,,available
Financial Services,Financial Services,2026-04-22,0.08896578166307692,ICC calculation,Constituent ICC aggregation,510,,available
Healthcare,Healthcare,2026-04-22,0.09390433743913912,ICC calculation,Constituent ICC aggregation,255,,available
Industrials,Industrials,2026-04-22,0.07035164558058817,ICC calculation,Constituent ICC aggregation,382,,available
Real Estate,Real Estate,2026-04-22,0.056050643272107126,ICC calculation,Constituent ICC aggregation,162,,available
Technology,Technology,2026-04-22,0.0802340701870667,ICC calculation,Constituent ICC aggregation,377,,available
Utilities,Utilities,2026-04-22,0.07764884267149638,ICC calculation,Constituent ICC aggregation,80,,available
