family,label,date,value,method,source,n_items,coverage_weight,status
Basic Materials,Basic Materials,2026-04-21,0.08267171880586825,ICC calculation,Constituent ICC aggregation,167,,available
Communication Services,Communication Services,2026-04-21,0.06962912626646282,ICC calculation,Constituent ICC aggregation,119,,available
Consumer Cyclical,Consumer Cyclical,2026-04-21,0.0940543812258721,ICC calculation,Constituent ICC aggregation,333,,available
Consumer Defensive,Consumer Defensive,2026-04-21,0.07421582449501311,ICC calculation,Constituent ICC aggregation,134,,available
Energy,Energy,2026-04-21,0.08290007077955196,ICC calculation,Constituent ICC aggregation,186,,available
Financial Services,Financial Services,2026-04-21,0.09009303423178384,ICC calculation,Constituent ICC aggregation,510,,available
Healthcare,Healthcare,2026-04-21,0.09455071808913658,ICC calculation,Constituent ICC aggregation,255,,available
Industrials,Industrials,2026-04-21,0.07064675725060254,ICC calculation,Constituent ICC aggregation,382,,available
Real Estate,Real Estate,2026-04-21,0.05673972617721669,ICC calculation,Constituent ICC aggregation,162,,available
Technology,Technology,2026-04-21,0.0817486457823757,ICC calculation,Constituent ICC aggregation,376,,available
Utilities,Utilities,2026-04-21,0.07899160104289173,ICC calculation,Constituent ICC aggregation,80,,available
