family,label,date,value,method,source,n_items,coverage_weight,status
all_market,All market,2026-04-23,0.08143800904361662,ICC calculation,Constituent ICC aggregation,2724,,available
sp500,S&P 500,2026-04-23,0.07579001753110064,ICC calculation,Constituent ICC aggregation,500,,available
