family,label,date,value,method,source,n_items,coverage_weight,status
all_market,All market,2026-04-27,0.08160384361469095,ICC calculation,Constituent ICC aggregation,2713,,available
sp500,S&P 500,2026-04-27,0.0748247913636943,ICC calculation,Constituent ICC aggregation,500,,available
