family,label,date,value,method,source,n_items,coverage_weight,status
all_market,All market,2026-04-22,0.08086099580404948,ICC calculation,Constituent ICC aggregation,2709,,available
sp500,S&P 500,2026-04-22,0.07404928391930547,ICC calculation,Constituent ICC aggregation,499,,available
