date,family,value,method,n_firms,label,yyyymm,year
2026-04-01,growth,0.08562970069845602,ICC calculation,2583,growth,202604,2026
2026-04-02,growth,0.0862754690008084,ICC calculation,2582,growth,202604,2026
2026-04-03,growth,0.08643538955658403,ICC calculation,2578,growth,202604,2026
2026-04-06,growth,0.08577023931005401,ICC calculation,2579,growth,202604,2026
2026-04-07,growth,0.08651027334958895,ICC calculation,2579,growth,202604,2026
2026-04-08,growth,0.08388231245236719,ICC calculation,2576,growth,202604,2026
2026-04-09,growth,0.0840022170591142,ICC calculation,2578,growth,202604,2026
2026-04-10,growth,0.08448176533251081,ICC calculation,2574,growth,202604,2026
2026-04-13,growth,0.08396148577133701,ICC calculation,2575,growth,202604,2026
2026-04-14,growth,0.08424336983030888,ICC calculation,2574,growth,202604,2026
2026-04-15,growth,0.08213650841538636,ICC calculation,2572,growth,202604,2026
2026-04-16,growth,0.0825184595670443,ICC calculation,2575,growth,202604,2026
2026-04-01,ivp_bm,0.03706839115844754,ICC calculation,2583,ivp_bm,202604,2026
2026-04-02,ivp_bm,0.036539455791018416,ICC calculation,2582,ivp_bm,202604,2026
2026-04-03,ivp_bm,0.03629879397600358,ICC calculation,2578,ivp_bm,202604,2026
2026-04-06,ivp_bm,0.03626854427695478,ICC calculation,2579,ivp_bm,202604,2026
2026-04-07,ivp_bm,0.03672943933129812,ICC calculation,2579,ivp_bm,202604,2026
2026-04-08,ivp_bm,0.037957134314999946,ICC calculation,2576,ivp_bm,202604,2026
2026-04-09,ivp_bm,0.03800893010723183,ICC calculation,2578,ivp_bm,202604,2026
2026-04-10,ivp_bm,0.03761290007945724,ICC calculation,2574,ivp_bm,202604,2026
2026-04-13,ivp_bm,0.03704030335705222,ICC calculation,2575,ivp_bm,202604,2026
2026-04-14,ivp_bm,0.03696175795286684,ICC calculation,2574,ivp_bm,202604,2026
2026-04-15,ivp_bm,0.039677770829615044,ICC calculation,2572,ivp_bm,202604,2026
2026-04-16,ivp_bm,0.03952808119279459,ICC calculation,2575,ivp_bm,202604,2026
2026-04-01,value,0.12269809185690356,ICC calculation,2583,value,202604,2026
2026-04-02,value,0.12281492479182682,ICC calculation,2582,value,202604,2026
2026-04-03,value,0.12273418353258761,ICC calculation,2578,value,202604,2026
2026-04-06,value,0.12203878358700879,ICC calculation,2579,value,202604,2026
2026-04-07,value,0.12323971268088707,ICC calculation,2579,value,202604,2026
2026-04-08,value,0.12183944676736713,ICC calculation,2576,value,202604,2026
2026-04-09,value,0.12201114716634603,ICC calculation,2578,value,202604,2026
2026-04-10,value,0.12209466541196805,ICC calculation,2574,value,202604,2026
2026-04-13,value,0.12100178912838923,ICC calculation,2575,value,202604,2026
2026-04-14,value,0.12120512778317571,ICC calculation,2574,value,202604,2026
2026-04-15,value,0.1218142792450014,ICC calculation,2572,value,202604,2026
2026-04-16,value,0.1220465407598389,ICC calculation,2575,value,202604,2026
