date,country,icc,n_selected,n_icc_available,coverage_mktcap,method,status
2026-08-10,Argentina,0.1496272799078142,9,9,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Australia,0.04966365416157,10,5,0.9907051216943186,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Belgium,0.1408644472169704,5,2,0.7011218387059525,Partial ADR estimate,partial_adr_estimate
2026-08-10,Bermuda,0.079472650985595,8,5,0.7797092740249734,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Brazil,0.1383406344789906,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Canada,0.0872835676089257,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Cayman Islands,0.1423950582669599,10,6,0.9850888318464832,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Chile,0.1355525212581936,7,7,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,China,0.2904008272813085,10,9,0.5644602713738521,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Cyprus,0.230802831937895,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-10,Denmark,0.1469876974603851,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-10,France,0.0886681141412348,10,7,0.9869031911211148,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Germany,0.103426149285218,10,9,0.9752901353829768,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Greece,0.1400834932056903,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-10,Hong Kong,0.2657255444744844,10,7,0.7474741525618992,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,India,0.0782621074113268,7,7,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Ireland,0.1192086305744775,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Israel,0.0928579148495827,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Italy,0.0865382670273428,8,7,0.9998612631600992,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Japan,0.1307414303549866,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Jersey,0.1592307581970355,3,2,0.9251738943017276,Partial ADR estimate,partial_adr_estimate
2026-08-10,Luxembourg,0.2000952349060917,8,8,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Malaysia,0.0999260036657558,8,3,0.4087978025194475,Partial ADR estimate,partial_adr_estimate
2026-08-10,Mexico,0.0909204861494925,10,9,0.9999922939840936,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Netherlands,0.0802659497822664,10,9,0.9967406952925376,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Singapore,0.1684244416934961,10,5,0.9600851259329306,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,South Africa,0.1390485974651537,5,5,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,South Korea,0.194674108133777,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Spain,0.1137126134938652,5,3,0.9997752968310036,Partial ADR estimate,partial_adr_estimate
2026-08-10,Sweden,0.0643584903489495,8,2,0.9724007867522512,Partial ADR estimate,partial_adr_estimate
2026-08-10,Switzerland,0.0833877776096572,10,9,0.9948034690679785,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,Taiwan,0.0984540711806628,10,8,0.9992478532129536,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,United Arab Emirates,0.2363462146275833,7,5,0.9346718469055671,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,United Kingdom,0.0803972716145986,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-10,United States,0.0959421055117471,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
