date,country,icc,n_candidates,n_selected,n_icc_available,coverage_mktcap,method,status
2026-08-11,Argentina,0.16409371913967838,7,5,5,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-11,Brazil,0.14688755795030417,10,8,8,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-11,Canada,0.08744882742174685,11,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-11,Chile,0.13040030065414768,5,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-11,China,0.2987558722857933,15,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-11,Colombia,0.0894773140664895,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-11,France,0.10135637739801731,9,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-11,Germany,0.09418595146274532,10,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-11,India,0.07976901584830581,8,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-11,Israel,0.13530905855883585,7,5,5,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-11,Italy,0.062436822086248206,4,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-11,Japan,0.11800568448305516,9,9,9,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-11,Luxembourg,0.06449193066111474,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-11,Mexico,0.0796260982335905,8,4,4,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-11,Netherlands,0.08863903219474042,8,8,8,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-11,South Korea,0.21095691515002926,6,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-11,Spain,0.11340960812531531,5,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-11,Switzerland,0.09571909260890016,6,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-11,Taiwan,0.10048436427263967,4,4,4,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-11,United Kingdom,0.08689449484546803,14,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
