date,country,ticker,company,icc,mktcap
2026-08-04,Netherlands,QGEN,Qiagen,0.0647335131578844,8730562560.0
2026-08-04,South Korea,KB,KB Financial,0.4,42125713408.0
2026-08-04,South Korea,SHG,Shinhan,0.1171811787616668,33746847744.0
2026-08-04,South Korea,PKX,POSCO,0.1317566790041878,16539776000.0
2026-08-04,South Korea,SKM,SK Telecom,0.0783533859453774,13359306752.0
2026-08-04,South Korea,KT,KT,0.13980401802509,8791825408.0
2026-08-04,South Korea,LPL,LG Display,0.0352803490752424,3230000128.0
2026-08-04,Spain,SAN,Santander,0.0666841144773954,206690697216.0
2026-08-04,Spain,BBVA,BBVA,0.101856095186246,155371028480.0
2026-08-04,Spain,GRFS,Grifols,0.2004929574799107,5492284416.0
2026-08-04,Switzerland,NVS,Novartis,0.0865721264490989,291322593280.0
2026-08-04,Switzerland,UBS,UBS,0.1122347855761035,175231451136.0
2026-08-04,Taiwan,TSM,Taiwan Semiconductor,0.0983399393052934,2163641417728.0
2026-08-04,Taiwan,ASX,ASE Technology,0.1601296536670996,85094162432.0
2026-08-04,Taiwan,UMC,United Microelectronics,0.0392945356275048,51738152960.0
2026-08-04,Taiwan,HIMX,Himax,0.1937336584813477,2473359616.0
2026-08-04,United Kingdom,HSBC,HSBC,0.1067319528606497,363679252480.0
2026-08-04,United Kingdom,ARM,Arm Holdings,0.0395518685824921,299637669888.0
2026-08-04,United Kingdom,SHEL,Shell,0.0849977475143317,248569167872.0
2026-08-04,United Kingdom,AZN,AstraZeneca,0.0960453103954744,241348853760.0
2026-08-04,United Kingdom,RIO,Rio Tinto,0.0757988040146776,161015234560.0
2026-08-04,United Kingdom,UL,Unilever,0.0676756228734485,138049290240.0
2026-08-04,United Kingdom,BTI,British American Tobacco,0.1043265491904729,127517442048.0
2026-08-04,United Kingdom,BP,BP,0.0918086019453102,109297524736.0
2026-08-04,United Kingdom,GSK,GSK,0.1010296077069464,103204569088.0
2026-08-04,United Kingdom,BCS,Barclays,0.1439164942170799,94474420224.0
