date,country,icc,n_selected,n_icc_available,coverage_mktcap,method,status
2026-08-17,Argentina,0.2090645743818655,8,8,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-17,Australia,0.0227756991838548,10,2,0.9657695867370656,Partial ADR estimate,partial_adr_estimate
2026-08-17,Brazil,0.1327159020118221,7,7,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-17,Cayman Islands,0.1207036858281192,9,6,0.9905524331062616,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-17,China,0.2664882385852758,10,9,0.9544237010682994,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-17,Denmark,0.1087006070377063,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-17,France,0.0910248457812098,10,7,0.9977362802356172,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-17,Germany,0.1031568085547088,10,9,0.9756260399614864,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-17,Greece,0.1325365973609662,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-17,Hong Kong,0.3489260716300193,10,6,0.9800016126759752,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-17,Ireland,0.0816229212131764,5,3,0.9381118132405843,Partial ADR estimate,partial_adr_estimate
2026-08-17,Israel,0.0622722995517526,10,9,0.9820870437746516,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-17,Italy,0.0896323724021075,7,6,0.9998622669321036,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-17,Japan,0.1160633122804714,10,9,0.9998419769592276,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-17,Jersey,0.1551595878961336,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-17,Luxembourg,0.1914068768688233,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-17,Netherlands,0.079631861340516,8,7,0.9996270316999124,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-17,Singapore,0.0850373354741668,10,4,0.7871188169620303,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-17,South Korea,0.1928691976667677,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-08-17,Spain,0.1122342277381722,3,2,0.9997647363771124,Partial ADR estimate,partial_adr_estimate
2026-08-17,Taiwan,0.1243456374437775,5,3,0.9867863840001764,Partial ADR estimate,partial_adr_estimate
2026-08-17,United Kingdom,0.090416667791809,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-08-17,United States,0.1329527947663785,10,8,0.9446201739602051,ADR Top-10 ICC calculation,adr_top10_icc_calculation
