date,country,ticker,company,icc,mktcap
2026-09-23,Brazil,ABEV,Ambev,0.0895008239525892,45170307072.0
2026-09-23,Brazil,BSBR,Santander Brasil,0.1852716542469948,42678906880.0
2026-09-23,Brazil,BBD,Bradesco,0.1376809732195509,36638552064.0
2026-09-23,Canada,BMO,Bank of Montreal,0.1068193894092567,118422855680.0
2026-09-23,Canada,BNS,Scotiabank,0.1125490300958879,112437059584.0
2026-09-23,China,BABA,Alibaba Group,0.3415713795289002,275407110144.0
2026-09-23,China,BIDU,Baidu,0.3105054991380095,30602366976.0
2026-09-23,China,BEKE,KE Holdings,0.2332727298923946,18265364480.0
2026-09-23,Netherlands,ASML,ASML,0.0779862256111795,670104682496.0
2026-09-23,Netherlands,AER,AerCap,0.0795828347041623,22753964032.0
2026-09-23,Peru,BAP,Credicorp,0.116368631500079,30606618624.0
2026-09-23,Peru,BVN,Buenaventura,0.0849483442670368,8488240640.0
2026-09-23,United Kingdom,ARM,Arm Holdings,0.0352951033792458,355173597184.0
2026-09-23,United Kingdom,AZN,AstraZeneca,0.0929961222264182,253307830272.0
2026-09-23,United Kingdom,BTI,British American Tobacco,0.1150396321514192,120208556032.0
2026-09-23,United Kingdom,BP,BP,0.1024516758642343,114579750912.0
2026-09-23,United Kingdom,BCS,Barclays,0.1471379777100209,81243717632.0
