date,country,icc,n_candidates,n_selected,n_icc_available,coverage_mktcap,method,status
2026-09-09,Argentina,0.14455348567175777,7,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-09-09,Australia,0.07051249566562742,4,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-09-09,Brazil,0.13679465502526414,10,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-09-09,Canada,0.08991372192006758,11,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-09-09,Chile,0.14127599567724308,5,5,5,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-09-09,China,0.3295180607895963,15,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-09-09,Colombia,0.09611221820393445,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-09-09,France,0.10020582736199664,9,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-09-09,Germany,0.09418757247700624,10,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-09-09,India,0.09857482457155246,8,7,7,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-09-09,Israel,0.13014475606953924,7,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-09-09,Italy,0.06413962759575642,4,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-09-09,Japan,0.11657880699130836,9,9,9,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-09-09,Luxembourg,0.06312593584866609,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-09-09,Mexico,0.08895692795705264,8,7,7,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-09-09,Netherlands,0.08797752853497526,8,8,8,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-09-09,Peru,0.10913425222569721,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-09-09,Singapore,0.09117039671417071,4,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-09-09,South Africa,0.17715064443612674,4,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-09-09,South Korea,0.2284626481225306,6,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-09-09,Spain,0.09423953923604449,5,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-09-09,Switzerland,0.09935247399606295,6,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-09-09,Taiwan,0.10064466735342165,4,4,4,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-09-09,United Kingdom,0.08467383843732731,14,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
