ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,icc_method,ICC,bm,date
AAPL,325.89,1.08,4786462654464,14687356000,7.26,Technology,Apple Inc.,8.7676,0.10761211734111953,forecast_icc,0.042081898087329636,0.022277454616835553,2026-07-22
ABBV,253.3,6.92,447528632320,1766792821,-3.767,Healthcare,AbbVie Inc.,14.13167,0.1520520929232001,forecast_icc,0.09280394564717553,,2026-07-22
ABT,100.57,2.52,175174139904,1741813154,29.889,Healthcare,Abbott Laboratories,5.51284,0.10053620275574837,forecast_icc,0.07613788561735257,0.29719599815610237,2026-07-22
ACN,140.09,6.52,85726961664,611942109,52.121,Technology,Accenture plc,13.87236,0.05846301566568335,forecast_icc,0.10129411266072882,0.372053716171571,2026-07-22
ADBE,218.36,0.0,86798098432,397500000,28.867,Technology,Adobe Inc.,24.41073,0.12601589546891878,forecast_icc,0.11178147371702052,0.1321991231062457,2026-07-22
AMAT,553.92,2.12,439789977600,793959430,30.114,Technology,"Applied Materials, Inc.",12.26321,0.36551685896270203,forecast_icc,0.08018697498199001,0.05436525499170448,2026-07-22
AMD,552.33,0.0,900629659648,1630600639,39.547,Technology,"Advanced Micro Devices, Inc.",7.43322,0.75,forecast_icc,0.11382272337128774,0.07160031071565676,2026-07-22
AMGN,366.05,10.08,197560205312,539708274,17.028,Healthcare,Amgen Inc.,22.3395,0.0501251147071331,forecast_icc,0.06661503267830604,0.04651823718829563,2026-07-22
AMT,166.06,6.98,77366198272,465893069,7.559,Real Estate,American Tower Corporation (REI,6.59236,0.04020108125163069,forecast_icc,0.051264725271035524,0.04551969448194473,2026-07-22
AMZN,244.85,0.0,2633878470656,10757109436,41.093,Consumer Cyclical,"Amazon.com, Inc.",8.68495,0.14029787160547835,forecast_icc,0.05679905668743554,0.16782926888173852,2026-07-22
AVGO,396.81,2.6,1887855443968,4757580198,18.43,Technology,Broadcom Inc.,11.62835,0.6735538575980256,forecast_icc,0.16120981588656014,0.04644540095974967,2026-07-22
