date,sector,vw_icc,ew_icc,n_firms,total_mktcap
2025-12-11,Technology,0.07247028558782041,0.0793138889107949,495.0,26631116284768.0
2025-12-11,Financial Services,0.0867468633908373,0.11456662802867362,633.0,14434744524907.0
2025-12-11,Communication Services,0.05935690222184991,0.11901158814754306,167.0,12124436242950.0
2025-12-11,Consumer Cyclical,0.07886819422132468,0.10534133919045442,388.0,9383004856747.0
2025-12-11,Healthcare,0.07871792974259384,0.08331119211201324,333.0,7885550969416.0
2025-12-11,Industrials,0.06736869215256272,0.08862516272554179,432.0,6725775565188.0
2025-12-11,Energy,0.10527479533595833,0.11977945009583729,183.0,3572974797012.0
2025-12-11,Consumer Defensive,0.0729005885729641,0.11019922352178675,157.0,3294772837939.0
2025-12-11,Basic Materials,0.09591921109768824,0.11053448562877903,155.0,2446029665398.0
2025-12-11,Utilities,0.08455044402958525,0.09305565998854565,92.0,1725265741224.0
2025-12-11,Real Estate,0.06558194798636428,0.08879965186371291,176.0,1602887992262.0
