date,sector,vw_icc,ew_icc,n_firms,total_mktcap
2025-12-19,Technology,0.07531816937593583,0.08144315387933289,492.0,25895600591953.0
2025-12-19,Financial Services,0.08675780693113065,0.11571372349635016,634.0,14434060720751.0
2025-12-19,Communication Services,0.060210562260132085,0.12203494119395723,165.0,12006747635860.0
2025-12-19,Consumer Cyclical,0.07766678093320513,0.10480053464190017,386.0,9448166264908.0
2025-12-19,Healthcare,0.07870333247664733,0.0835042158361168,334.0,7938161256051.0
2025-12-19,Industrials,0.0676304162341701,0.0895400107278069,430.0,6641344905631.0
2025-12-19,Energy,0.10623874459011586,0.12295756108169524,182.0,3452905389444.0
2025-12-19,Consumer Defensive,0.07271512764485419,0.10683370210507305,156.0,3283278033756.0
2025-12-19,Basic Materials,0.09973856731175097,0.11304619403090135,154.0,2452881819244.0
2025-12-19,Utilities,0.08516910380496005,0.09432064818291402,91.0,1705422461804.0
2025-12-19,Real Estate,0.06684475884880872,0.09014758080758901,175.0,1583244231310.0
