date,family,label,value,method,n_firms,yyyymm,year
2025-12-11,Basic Materials,Basic Materials,0.09591921109768824,ICC calculation,155.0,202512,2025
2025-12-11,Communication Services,Communication Services,0.05935690222184991,ICC calculation,167.0,202512,2025
2025-12-11,Consumer Cyclical,Consumer Cyclical,0.07886819422132468,ICC calculation,388.0,202512,2025
2025-12-11,Consumer Defensive,Consumer Defensive,0.0729005885729641,ICC calculation,157.0,202512,2025
2025-12-11,Energy,Energy,0.10527479533595833,ICC calculation,183.0,202512,2025
2025-12-11,Financial Services,Financial Services,0.0867468633908373,ICC calculation,633.0,202512,2025
2025-12-11,Healthcare,Healthcare,0.07871792974259384,ICC calculation,333.0,202512,2025
2025-12-11,Industrials,Industrials,0.06736869215256272,ICC calculation,432.0,202512,2025
2025-12-11,Real Estate,Real Estate,0.06558194798636428,ICC calculation,176.0,202512,2025
2025-12-11,Technology,Technology,0.07247028558782041,ICC calculation,495.0,202512,2025
2025-12-11,Utilities,Utilities,0.08455044402958525,ICC calculation,92.0,202512,2025
