family,ticker,label,date,value,method,source,n_items,coverage_weight,status
China,MCHI,iShares MSCI China ETF,2026-04-23,0.0778397659078016,P/E estimate,Yahoo Finance,,,available
Germany,EWG,iShares MSCI Germany ETF,2026-04-23,0.05651665263169793,P/E estimate,Yahoo Finance,,,available
India,INDA,iShares MSCI India ETF,2026-04-23,0.04365792652440818,P/E estimate,Yahoo Finance,,,available
Japan,EWJ,iShares MSCI Japan ETF,2026-04-23,0.05597952582430692,P/E estimate,Yahoo Finance,,,available
