family,ticker,label,date,value,method,source,n_items,coverage_weight,status
China,MCHI,iShares MSCI China ETF,2026-04-22,0.07646455428237825,P/E estimate,Yahoo Finance,,,available
Germany,EWG,iShares MSCI Germany ETF,2026-04-22,0.05598246539611849,P/E estimate,Yahoo Finance,,,available
India,INDA,iShares MSCI India ETF,2026-04-22,0.043160025115681816,P/E estimate,Yahoo Finance,,,available
Japan,EWJ,iShares MSCI Japan ETF,2026-04-22,0.05553939359202028,P/E estimate,Yahoo Finance,,,available
