family,label,date,value,method,source,n_items,coverage_weight,status
dow30,Dow 30,2026-04-28,0.07286376517953112,ICC calculation,Constituent ICC aggregation,30,,available
ndx100,Nasdaq-100,2026-04-28,0.07468269947266404,ICC calculation,Constituent ICC aggregation,100,,available
rut1000,Russell 1000,2026-04-28,0.07547169520925218,ICC calculation,Constituent ICC aggregation,972,,available
sp100,S&P 100,2026-04-28,0.07426078173775716,ICC calculation,Constituent ICC aggregation,101,,available
sp400,S&P 400,2026-04-28,0.08398270073640175,ICC calculation,Constituent ICC aggregation,393,,available
sp500,S&P 500,2026-04-28,0.07497393735227421,ICC calculation,Constituent ICC aggregation,500,,available
sp600,S&P 600,2026-04-28,0.0927480239795975,ICC calculation,Constituent ICC aggregation,570,,available
