date,group,daily_icc,ew_icc,n_firms,method,source_file
2026-05-07,Basic Materials,0.08288191899759902,0.10909038940969744,167,ICC calculation,data/202605/icc_live_usall_2026_0507_r1.csv
2026-05-07,Communication Services,0.046132016894006256,0.13446010339111905,119,ICC calculation,data/202605/icc_live_usall_2026_0507_r1.csv
2026-05-07,Consumer Cyclical,0.08863311300350263,0.11869688147088343,331,ICC calculation,data/202605/icc_live_usall_2026_0507_r1.csv
2026-05-07,Consumer Defensive,0.07097938162766289,0.10751702393742917,137,ICC calculation,data/202605/icc_live_usall_2026_0507_r1.csv
2026-05-07,Energy,0.08571917174428464,0.1142732990283855,187,ICC calculation,data/202605/icc_live_usall_2026_0507_r1.csv
2026-05-07,Financial Services,0.09154387262434562,0.12174347025993515,510,ICC calculation,data/202605/icc_live_usall_2026_0507_r1.csv
2026-05-07,Healthcare,0.09502429596628952,0.0978147273457018,254,ICC calculation,data/202605/icc_live_usall_2026_0507_r1.csv
2026-05-07,Industrials,0.067692144258415,0.08983758358330868,383,ICC calculation,data/202605/icc_live_usall_2026_0507_r1.csv
2026-05-07,Real Estate,0.056120591991228694,0.0903736898426081,163,ICC calculation,data/202605/icc_live_usall_2026_0507_r1.csv
2026-05-07,Technology,0.0818048130058008,0.0934749709586608,377,ICC calculation,data/202605/icc_live_usall_2026_0507_r1.csv
2026-05-07,Unknown,0.12086983784850017,0.12350974258990155,2,ICC calculation,data/202605/icc_live_usall_2026_0507_r1.csv
2026-05-07,Utilities,0.0761801340725888,0.08352294685292859,80,ICC calculation,data/202605/icc_live_usall_2026_0507_r1.csv
