date,country,icc,method,n_candidates,n_selected,n_icc_available,coverage_mktcap,status,source_file,country_region,vw_icc,constituents,source_note
2026-05-04,Kazakhstan,,Unavailable,1,1,1,1.0,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Kazakhstan,,KSPI,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Luxembourg,,Unavailable,2,2,2,1.0,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Luxembourg,,"TS, TX",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Macau,,Unavailable,1,1,0,0.0,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Macau,,NWGL,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Mexico,0.1464565490604017,Partial ADR ICC calculation,7,7,6,0.9789614642285336,partial_adr_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Mexico,0.1464565490604017,"CX, VIST, OMAB, SIM, VTMX, AERO",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Netherlands,,Unavailable,3,3,3,1.0,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Netherlands,,"ARGX, PHAR, ZEPP",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Norway,,Unavailable,1,1,1,1.0,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Norway,,OPRA,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Peru,,Unavailable,1,1,1,1.0,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Peru,,CPAC,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Philippines,,Unavailable,1,1,1,1.0,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Philippines,,PHI,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Singapore,0.1599093363555316,Partial ADR ICC calculation,12,10,6,0.9911489734336364,partial_adr_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Singapore,0.1599093363555316,"SE, TCOM, JOYY, TIGR, HDL, LITB",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,South Africa,0.1389526014170044,Partial ADR ICC calculation,4,4,4,1.0,partial_adr_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,South Africa,0.1389526014170044,"GFI, SSL, SBSW, DRD",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,South Korea,0.1700185093761035,Partial ADR ICC calculation,6,6,5,0.9945760238077064,partial_adr_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,South Korea,0.1700185093761035,"SHG, PKX, WF, LPL, DDI",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Spain,,Unavailable,3,3,2,0.9998609232192812,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Spain,,"SAN, GRFS, TURB",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Sweden,,Unavailable,5,5,1,0.5395890165495261,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Sweden,,"ERIC, PSNYW, PSNY, OTLY, NIPG",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Switzerland,,Unavailable,4,4,2,0.9948249504523063,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Switzerland,,"ONC, MOLN, WKEY, ADXN",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Taiwan,,Unavailable,3,3,3,1.0,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Taiwan,,"ASX, HIMX, IMOS",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Turkey,,Unavailable,1,1,1,1.0,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,Turkey,,HEPS,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,United Arab Emirates,,Unavailable,2,2,2,1.0,unavailable,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,United Arab Emirates,,"VEON, YALA",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,United Kingdom,0.0838200830013707,ICC calculation,26,10,10,1.0,icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_0504.csv,United Kingdom,0.0838200830013707,"SHEL, ARM, UL, BTI, GSK, NGG, LYG, RELX, NWG, HLN",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
