date,country,icc,method,n_candidates,n_selected,n_icc_available,coverage_mktcap,status,source_file
2026-05-07,Argentina,0.2276227283894304,ADR Top-10 ICC calculation,,9,9,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Austria,0.1250395921540232,ADR Top-10 ICC calculation,20.0,20,4,1.0,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_0507.csv
2026-05-07,Brazil,0.1149662599255804,ADR Top-10 ICC calculation,,8,7,0.9991834992498398,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Canada,0.0940613476612472,ADR Top-10 ICC calculation,,10,10,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Cayman Islands,0.1495415410774528,Partial ADR estimate,,5,3,0.9942827949728836,partial_adr_estimate,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Chile,0.1174736219914458,ADR Top-10 ICC calculation,,5,5,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,China,0.2511249631421607,ADR Top-10 ICC calculation,,10,9,0.9479450852784588,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Colombia,0.1074374117965291,Partial ADR estimate,7.0,7,2,1.0,partial_adr_composite,data/derived/country_adr/202605/country_adr_icc_2026_0507.csv
2026-05-07,Denmark,0.1613316425807113,ADR Top-10 ICC calculation,36.0,25,10,0.9352680820550828,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_0507.csv
2026-05-07,Finland,0.1082468488749317,ADR Top-10 ICC calculation,27.0,25,8,1.0,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_0507.csv
2026-05-07,France,0.0975029800630671,ADR Top-10 ICC calculation,,10,7,0.9888981950166568,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Germany,0.086715214969543,ADR Top-10 ICC calculation,,9,8,0.9727641376185822,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Greece,0.1207308376694452,Partial ADR estimate,,3,2,0.9598282290831132,partial_adr_estimate,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,India,0.0946295349274655,ADR Top-10 ICC calculation,,6,6,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Indonesia,0.397959499086463,Partial ADR estimate,46.0,25,2,1.0,partial_adr_composite,data/derived/country_adr/202605/country_adr_icc_2026_0507.csv
2026-05-07,Ireland,0.1250939446945795,ADR Top-10 ICC calculation,,10,10,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Israel,0.0983744162090365,ADR Top-10 ICC calculation,,10,9,0.992933907192068,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Italy,0.0882130844217763,ADR Top-10 ICC calculation,,5,5,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Japan,0.1194661382470865,ADR Top-10 ICC calculation,,10,10,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Luxembourg,0.1700513884491888,ADR Top-10 ICC calculation,,5,5,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Mexico,0.081639958318795,ADR Top-10 ICC calculation,,8,8,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Netherlands,0.0759118520339515,ADR Top-10 ICC calculation,,7,6,0.9997052646156754,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Norway,0.1119163667089671,ADR Top-10 ICC calculation,32.0,25,5,1.0,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_0507.csv
2026-05-07,Peru,0.1071942872617621,Partial ADR estimate,6.0,6,2,1.0,partial_adr_composite,data/derived/country_adr/202605/country_adr_icc_2026_0507.csv
2026-05-07,Portugal,0.079156360279349,Partial ADR estimate,7.0,7,2,1.0,partial_adr_composite,data/derived/country_adr/202605/country_adr_icc_2026_0507.csv
2026-05-07,S. Africa,0.2486210887662408,ADR Top-10 ICC calculation,41.0,25,5,1.0,ok_adr_top_n,data/derived/country_adr/202605/country_adr_icc_2026_0507.csv
2026-05-07,South Africa,0.1236535493524928,ADR Top-10 ICC calculation,,5,5,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,South Korea,0.1972590713436462,ADR Top-10 ICC calculation,,8,8,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Spain,0.1075791392045315,Partial ADR estimate,,4,3,0.9996503820966268,partial_adr_estimate,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Sweden,0.0699602308603978,Partial ADR estimate,,2,2,1.0,partial_adr_estimate,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Switzerland,0.0977339491104275,ADR Top-10 ICC calculation,,8,6,0.993519041535564,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Taiwan,0.0861945737133922,ADR Top-10 ICC calculation,,6,5,0.9998155374202952,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,Turkey,0.1905751097006552,Partial ADR estimate,33.0,25,3,1.0,partial_adr_composite,data/derived/country_adr/202605/country_adr_icc_2026_0507.csv
2026-05-07,United Kingdom,0.0915377324249477,ADR Top-10 ICC calculation,,10,10,1.0,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
2026-05-07,United States,0.080843763880056,ADR Top-10 ICC calculation,,10,8,0.9867203272021804,adr_top10_icc_calculation,data/derived/country_adr/202605/country_adr_icc_2026_05_07.csv
