family,label,date,value,method,source,n_items,coverage_weight,status
dow30,Dow 30,2026-04-21,0.07337000776277712,ICC calculation,Constituent ICC aggregation,30,,available
ndx100,Nasdaq-100,2026-04-21,0.07603566198996725,ICC calculation,Constituent ICC aggregation,100,,available
rut1000,Russell 1000,2026-04-21,0.07629566207745499,ICC calculation,Constituent ICC aggregation,970,,available
sp100,S&P 100,2026-04-21,0.07566068248222785,ICC calculation,Constituent ICC aggregation,101,,available
sp400,S&P 400,2026-04-21,0.08313730440097226,ICC calculation,Constituent ICC aggregation,392,,available
sp500,S&P 500,2026-04-21,0.07585852058546841,ICC calculation,Constituent ICC aggregation,499,,available
sp600,S&P 600,2026-04-21,0.0933028673207906,ICC calculation,Constituent ICC aggregation,568,,available
