date,etf,ticker,weight,icc
2026-07-16,VTI,WMT,0.006999999999999999,0.0460817480890133
2026-07-16,VTI,INTC,0.0063,0.0601017969792164
2026-07-16,VTI,CSCO,0.0059,0.056388664985051
2026-07-16,VTI,COST,0.0058,0.0349673417242849
2026-07-16,VTI,CAT,0.005600000000000001,0.068170882061683
2026-07-16,VTI,LRCX,0.0055000000000000005,0.0789371339086097
2026-07-16,VTI,MA,0.0054,0.0633506831728193
2026-07-16,VTI,ORCL,0.0053,0.1516333783701861
2026-07-16,QQQ,NVDA,0.0801,0.1315388937265645
2026-07-16,QQQ,AAPL,0.0726,0.0400786669661726
2026-07-16,QQQ,MU,0.0478,0.2654336192377388
2026-07-16,QQQ,MSFT,0.0449,0.0701371391971642
2026-07-16,QQQ,AMZN,0.0414,0.0563757808712136
2026-07-16,QQQ,AMD,0.0394,0.1196162872131638
2026-07-16,QQQ,GOOGL,0.0326,0.0374616695265542
2026-07-16,QQQ,TSLA,0.0319,0.017919126752418
2026-07-16,QQQ,META,0.0311,0.0523803944436284
2026-07-16,QQQ,GOOG,0.0304,0.0371575246559546
2026-07-16,QQQ,AVGO,0.0297,0.165256090788752
2026-07-16,QQQ,WMT,0.0241,0.0460817480890133
2026-07-16,QQQ,INTC,0.0239,0.0601017969792164
2026-07-16,QQQ,AMAT,0.0207,0.079548135587076
2026-07-16,QQQ,CSCO,0.0207,0.056388664985051
2026-07-16,QQQ,LRCX,0.019,0.0789371339086097
2026-07-16,QQQ,COST,0.0176,0.0349673417242849
2026-07-16,QQQ,NFLX,0.0134,0.05303110128175
2026-07-16,QQQ,KLAC,0.0131,0.0671662664633613
2026-07-16,QQQ,PLTR,0.0126,0.0554812815625825
2026-07-16,QQQ,SNDK,0.0123,0.2062319874758803
2026-07-16,QQQ,TXN,0.0123,0.0589719288680281
2026-07-16,QQQ,SPCX,0.0121,0.0105906556766784
2026-07-16,QQQ,PANW,0.0115,0.0120904113104462
2026-07-16,QQQ,LIN,0.0106,0.0514512572787514
2026-07-16,DIA,GS,0.129,0.0505110449022853
2026-07-16,DIA,CAT,0.1056,0.068170882061683
2026-07-16,DIA,UNH,0.0481,0.0745507255489738
2026-07-16,DIA,MSFT,0.0435,0.0701371391971642
2026-07-16,DIA,GOOGL,0.0407,0.0374616695265542
2026-07-16,DIA,V,0.0403,0.0555460384344177
2026-07-16,DIA,AMGN,0.04019999999999999,0.0568929630361899
2026-07-16,DIA,AXP,0.04019999999999999,0.0698916837614652
2026-07-16,DIA,JPM,0.0388,0.0605525530639261
2026-07-16,DIA,HD,0.0382,0.0596782526993738
2026-07-16,DIA,TRV,0.0381,0.0606968350290829
2026-07-16,DIA,SHW,0.037200000000000004,0.0539624713342837
2026-07-16,DIA,AAPL,0.0356,0.0400786669661726
2026-07-16,DIA,MCD,0.0304,0.0686726516268937
2026-07-16,DIA,JNJ,0.0287,0.0678052749610267
2026-07-16,DIA,AMZN,0.027999999999999997,0.0563757808712136
2026-07-16,DIA,HON,0.0252,0.0872989207831248
2026-07-16,DIA,BA,0.0246,0.024054206187369
2026-07-16,DIA,IBM,0.0246,0.0645100065490763
2026-07-16,DIA,NVDA,0.024,0.1315388937265645
2026-07-16,DIA,CVX,0.0206,0.0640694517749455
2026-07-16,DIA,CRM,0.019,0.0893079012790222
2026-07-16,DIA,MMM,0.0177,0.0693736381907149
2026-07-16,DIA,PG,0.0165,0.0473749094729866
2026-07-16,DIA,MRK,0.0137,0.1833431519822786
2026-07-16,IWM,BTSG,0.0036,0.0640882621648813
2026-07-16,IWM,MOG-A,0.0036,0.0407994102945856
2026-07-16,IWM,UMBF,0.0034000000000000002,0.0818527358508617
2026-07-16,IWM,HUT,0.0032,0.01
2026-07-16,IWM,FROG,0.0032,0.0283409574536818
2026-07-16,IWM,KRYS,0.003,0.0513677370728159
2026-07-16,IWM,ONB,0.0029,0.1062330805228525
2026-07-16,IWM,CTRE,0.0029,0.0425508762459567
2026-07-16,IWM,FCFS,0.0028000000000000004,0.0763653743252396
2026-07-16,IWM,VSAT,0.0028000000000000004,0.0242628611298257
2026-07-16,IWM,GKOS,0.0028000000000000004,0.01
2026-07-16,IWM,ALKS,0.0028000000000000004,0.0740703649080952
2026-07-16,IWM,ESE,0.0027,0.0400479912796224
2026-07-16,IWM,COMP,0.0026,0.048640129114842
2026-07-16,IWM,AGX,0.0026,0.0737319107512008
2026-07-16,IWM,EAT,0.0026,0.0821721507576555
2026-07-16,IWM,SNEX,0.0026,0.0518416181030342
2026-07-16,IWM,HQY,0.0026,0.0726009346869532
2026-07-16,IWM,TGTX,0.0025,0.1671601471649696
2026-07-16,IWM,PTGX,0.0025,0.0283568444958909
2026-07-16,IWM,RHP,0.0025,0.0749055616327621
2026-07-16,MDY,TWLO,0.0092,0.0516699480291394
2026-07-16,MDY,CRS,0.008199999999999999,0.0463057559082738
2026-07-16,MDY,ILMN,0.008100000000000001,0.0462726518362065
2026-07-16,MDY,FTI,0.0078000000000000005,0.0736148155631241
2026-07-16,MDY,CW,0.0078000000000000005,0.0374864914111557
2026-07-16,MDY,ATI,0.0070999999999999995,0.0560658678762623
2026-07-16,MDY,NVT,0.0070999999999999995,0.0699075159927989
