ticker,price,dividend,mktcap,shares,bvps,sector,name,FE1,g2,icc_method,ICC,bm,date
AA,55.08,0.4,14535054336,263889875,25.867,Basic Materials,Alcoa Corporation,7.67154,0.01,forecast_icc,0.08232208521464984,0.4696259978690595,2026-06-23
AAL,16.14,0.0,10674755584,661385137,-6.164,Industrials,"American Airlines Group, Inc.",0.08399,0.75,forecast_icc,0.06562863538922598,,2026-06-23
AAON,129.45,0.4,10603470848,81911710,11.413,Industrials,"AAON, Inc.",2.26,0.45663716814159305,forecast_icc,0.08388758930722318,0.08816531488897625,2026-06-23
ACI,13.91,0.68,6812817920,489778423,3.676,Consumer Defensive,"Albertsons Companies, Inc.",2.28733,0.07677510459793746,forecast_icc,0.14188924682596837,0.26427030695515785,2026-06-23
ACM,69.07,1.19,8877078528,128522920,17.711,Industrials,AECOM,5.99369,0.12113072247647105,forecast_icc,0.10262350051988733,0.2564210093377243,2026-06-23
ADC,74.37,3.2,8957902848,120102859,50.567,Real Estate,Agree Realty Corporation,1.90286,0.0265862964169723,forecast_icc,0.03199635344735219,0.6779757912209275,2026-06-23
AEIS,364.96,0.4,14602289152,40010657,36.432,Industrials,"Advanced Energy Industries, Inc",9.33227,0.26221594531662706,forecast_icc,0.06652475500383603,0.0998246398664384,2026-06-23
AFG,137.08,3.52,11389440000,83086083,56.303,Financial Services,"American Financial Group, Inc.",11.61857,0.038484942639240405,forecast_icc,0.07670551794639724,0.4107309693144703,2026-06-23
AGCO,111.22,1.2,8053276672,72408527,59.341,Industrials,AGCO Corporation,5.98687,0.3512235942988575,forecast_icc,0.13306249941816073,0.5335461049843588,2026-06-23
AHR,48.67,1.0,9379793920,192722308,18.33,Real Estate,"American Healthcare REIT, Inc.",0.55,0.5636363636363635,forecast_icc,0.09084202527396623,0.3766180723979061,2026-06-23
AIT,330.9,2.04,12229911552,36959541,50.197,Industrials,Applied Industrial Technologies,10.7075,0.10051365865047868,forecast_icc,0.04768503387414624,0.15169840531459963,2026-06-23
ALGM,55.52,0.0,10339067904,186222406,5.151,Technology,"Allegro MicroSystems, Inc.",1.05227,0.39972630598610626,forecast_icc,0.07569200270549026,0.0927773782136483,2026-06-23
