date,sector,vw_icc,ew_icc,n_firms,total_mktcap
2026-04-01,Technology,0.0839888304046068,0.10023483390455258,375.0,17989491131560.0
2026-04-01,Financial Services,0.09352527917422129,0.1250092181591371,517.0,12832815168495.0
2026-04-01,Communication Services,0.0750615487017291,0.1266753344859736,124.0,10320506171757.0
2026-04-01,Healthcare,0.09030536833077045,0.1016758878910015,262.0,7153396379556.0
2026-04-01,Industrials,0.07126885547804458,0.09488767793884452,386.0,6727380517361.0
2026-04-01,Consumer Cyclical,0.10072754317523792,0.12123694121487832,333.0,6636969063692.0
2026-04-01,Energy,0.08489319779925744,0.10937306027698258,186.0,4673871435700.0
2026-04-01,Consumer Defensive,0.07319514832847811,0.11258211967772182,136.0,3133363385106.0
2026-04-01,Basic Materials,0.08160202388534012,0.11285903969054921,165.0,2775718926426.0
2026-04-01,Utilities,0.07812179172083689,0.08690398967567703,80.0,1814649993424.0
2026-04-01,Real Estate,0.0607905584491965,0.09463297433172532,163.0,1555362675498.0
