universe,date,vw_icc,ew_icc,n_firms,source_file
dow30,2026-04-15,0.07337433539554318,0.07624744146387943,30,data/202604/icc_live_dow30_2026_0415.csv
ndx100,2026-04-15,0.07507322132040703,0.08064160150332489,100,data/202604/icc_live_ndx100_2026_0415.csv
rut1000,2026-04-15,0.07614768984726404,0.08697026212512006,979,data/202604/icc_live_rut1000_2026_0415.csv
sp100,2026-04-15,0.07521095446221929,0.08117452735175708,101,data/202604/icc_live_sp100_2026_0415.csv
sp400,2026-04-15,0.08490015516816177,0.09021205151945856,396,data/202604/icc_live_sp400_2026_0415.csv
sp500,2026-04-15,0.07569297028442881,0.08138525083469349,500,data/202604/icc_live_sp500_2026_0415_r1.csv
sp600,2026-04-15,0.09410077239535737,0.10247942566763234,572,data/202604/icc_live_sp600_2026_0415.csv
