ticker,country,market_cap,sector,yf_name,quote_type,name,exchange,source,rank_in_country,ICC,mktcap,name_icc,sector_icc
BBDO,Brazil,36997492736.0,Financial Services,Banco Bradesco Sa,EQUITY,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),N,nasdaq_trader_symbol_directories,5,,,,
AXIA,Brazil,28472682496.0,Utilities,AXIA Energia,EQUITY,AXIA Energia American Depositary Shares (Each representing one Common Share),N,nasdaq_trader_symbol_directories,6,0.13838049121805807,28472682496.0,AXIA Energia,Utilities
VIV,Brazil,25532893184.0,Communication Services,Telefonica Brasil S.A.,EQUITY,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),N,nasdaq_trader_symbol_directories,7,0.2458876157802049,25532893184.0,Telefonica Brasil S.A.,Communication Services
SBS,Brazil,24874418176.0,Utilities,Companhia de saneamento Basico ,EQUITY,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250 Common Shares),N,nasdaq_trader_symbol_directories,8,0.18284183161216172,24874418176.0,Companhia de saneamento Basico ,Utilities
TIMB,Brazil,12435407872.0,Communication Services,TIM S.A.,EQUITY,TIM S.A. American Depositary Shares (Each representing 5 Common Shares) ,N,nasdaq_trader_symbol_directories,9,0.09739015214610236,12435407872.0,TIM S.A.,Communication Services
SUZ,Brazil,11557506048.0,Basic Materials,Suzano S.A.,EQUITY,Suzano S.A. American Depositary Shares (each representing One Ordinary Share),N,nasdaq_trader_symbol_directories,10,0.08472882138964655,11557506048.0,Suzano S.A.,Basic Materials
NICM,Canada,129013272.0,Basic Materials,Nicola Mining Inc.,EQUITY,Nicola Mining Inc. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,1,,,,
ANL,Cayman Islands,791380928.0,Healthcare,Adlai Nortye Ltd.,EQUITY,Adlai Nortye Ltd. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,1,,,,
BCH,Chile,19072024576.0,Financial Services,Banco De Chile,EQUITY,Banco De Chile ADS,N,nasdaq_trader_symbol_directories,1,0.11596406406151416,19072024576.0,Banco De Chile,Financial Services
BSAC,Chile,15754095616.0,Financial Services,Banco Santander - Chile,EQUITY,Banco Santander - Chile ADS,N,nasdaq_trader_symbol_directories,2,0.1238780775328997,15754095616.0,Banco Santander - Chile,Financial Services
LTM,Chile,14719164416.0,Industrials,LATAM Airlines Group S.A.,EQUITY,"LATAM Airlines Group S.A. American Depositary Shares (each representing two thousand (2,000) shares of Common Stock)",N,nasdaq_trader_symbol_directories,3,0.2114448038945701,14719164416.0,LATAM Airlines Group S.A.,Industrials
ENIC,Chile,6238823936.0,Utilities,Enel Chile S.A.,EQUITY,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),N,nasdaq_trader_symbol_directories,4,0.4,6238823936.0,Enel Chile S.A.,Utilities
NTES,China,69900558336.0,Communication Services,"NetEase, Inc.",EQUITY,"NetEase, Inc. - American Depositary Shares, each representing 5 ordinary shares",NASDAQ,nasdaq_trader_symbol_directories,1,0.2630146675536492,69900558336.0,"NetEase, Inc.",Communication Services
BIDU,China,41350905856.0,Communication Services,"Baidu, Inc.",EQUITY,"Baidu, Inc. - American Depositary Shares, each representing 8 ordinary share",NASDAQ,nasdaq_trader_symbol_directories,2,0.24976017834134356,41350905856.0,"Baidu, Inc.",Communication Services
JD,China,40947302400.0,Consumer Cyclical,"JD.com, Inc.",EQUITY,"JD.com, Inc. - American Depositary Shares",NASDAQ,nasdaq_trader_symbol_directories,3,0.4,40947302400.0,"JD.com, Inc.",Consumer Cyclical
ZTO,China,19565826048.0,Industrials,ZTO Express (Cayman) Inc.,EQUITY,"ZTO Express (Cayman) Inc. American Depositary Shares, each representing one Class A ordinary share.",N,nasdaq_trader_symbol_directories,4,0.25541438616100487,19565826048.0,ZTO Express (Cayman) Inc.,Industrials
LI,China,19068547072.0,Consumer Cyclical,Li Auto Inc.,EQUITY,Li Auto Inc. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,5,0.23963048654266184,19068547072.0,Li Auto Inc.,Consumer Cyclical
