family,ticker,label,date,value,method,source,n_items,coverage_weight,status
China,MCHI,iShares MSCI China ETF,2026-04-29,0.07844242831715184,P/E estimate,Yahoo Finance,,,available
Germany,EWG,iShares MSCI Germany ETF,2026-04-29,0.05730957889494523,P/E estimate,Yahoo Finance,,,available
India,INDA,iShares MSCI India ETF,2026-04-29,0.04399629040877789,P/E estimate,Yahoo Finance,,,available
Japan,EWJ,iShares MSCI Japan ETF,2026-04-29,0.056147187831601775,P/E estimate,Yahoo Finance,,,available
