family,ticker,label,date,value,method,source,n_items,coverage_weight,status
China,MCHI,iShares MSCI China ETF,2026-04-17,0.07509278840399139,P/E estimate,Yahoo Finance,,,available
Germany,EWG,iShares MSCI Germany ETF,2026-04-17,0.055238471385781335,P/E estimate,Yahoo Finance,,,available
India,INDA,iShares MSCI India ETF,2026-04-17,0.0426902453429745,P/E estimate,Yahoo Finance,,,available
Japan,EWJ,iShares MSCI Japan ETF,2026-04-17,0.054691843728776154,P/E estimate,Yahoo Finance,,,available
