date,ticker,label,category,country,vw_icc,coverage_weight,n_holdings,n_matched,status
2026-02-13,SPY,SPDR S&P 500,,United States,,0.0,10,0,no_match
2026-02-13,EWJ,iShares MSCI Japan,,Japan,,0.0,10,0,no_match
2026-02-13,EWG,iShares MSCI Germany,,Germany,,0.0,10,0,no_match
2026-02-13,EWU,iShares MSCI United Kingdom,,United Kingdom,,0.0,10,0,no_match
2026-02-13,EWQ,iShares MSCI France,,France,,0.0,10,0,no_match
2026-02-13,EWC,iShares MSCI Canada,,Canada,,0.0,10,0,no_match
2026-02-13,EWA,iShares MSCI Australia,,Australia,,0.0,10,0,no_match
2026-02-13,INDA,iShares MSCI India,,India,,0.0,10,0,no_match
2026-02-13,MCHI,iShares MSCI China,,China,,0.0,10,0,no_match
2026-02-13,EWZ,iShares MSCI Brazil,,Brazil,,0.0,10,0,no_match
