family,label,date,value,method,source,n_items,coverage_weight,status
growth_icc,Growth ICC,2026-04-27,0.08497712904122996,ICC calculation,Constituent ICC aggregation,2566,,available
ivp_bm,IVP (B/M),2026-04-27,0.036722934278302616,ICC calculation,Constituent ICC aggregation,2566,,available
value_icc,Value ICC,2026-04-27,0.12170006331953258,ICC calculation,Constituent ICC aggregation,2566,,available
