date,group,daily_icc,ew_icc,n_firms,method,source_file
2025-12-05,Basic Materials,0.09849382403130286,0.11656150621183868,159,ICC calculation,data/202512/icc_live_usall_2025_1205.csv
2025-12-05,Communication Services,0.05850829724120468,0.1238912462018112,160,ICC calculation,data/202512/icc_live_usall_2025_1205.csv
2025-12-05,Consumer Cyclical,0.07931110651902497,0.10760778728973504,389,ICC calculation,data/202512/icc_live_usall_2025_1205.csv
2025-12-05,Consumer Defensive,0.06618729609847751,0.11084973181417833,158,ICC calculation,data/202512/icc_live_usall_2025_1205.csv
2025-12-05,Energy,0.0947038119460581,0.11968440748286761,187,ICC calculation,data/202512/icc_live_usall_2025_1205.csv
2025-12-05,Financial Services,0.08748712715637601,0.11764092430278854,631,ICC calculation,data/202512/icc_live_usall_2025_1205.csv
2025-12-05,Healthcare,0.07918992046939134,0.08758920358379726,314,ICC calculation,data/202512/icc_live_usall_2025_1205.csv
2025-12-05,Industrials,0.06809192320296852,0.09236016179094532,434,ICC calculation,data/202512/icc_live_usall_2025_1205.csv
2025-12-05,Real Estate,0.06490918435227781,0.09302506377980535,179,ICC calculation,data/202512/icc_live_usall_2025_1205.csv
2025-12-05,Technology,0.07276202489687858,0.08315445206793648,485,ICC calculation,data/202512/icc_live_usall_2025_1205.csv
2025-12-05,Unknown,0.08373936437552726,0.10675800976034511,3,ICC calculation,data/202512/icc_live_usall_2025_1205.csv
2025-12-05,Utilities,0.08351434927575288,0.09115888549578718,93,ICC calculation,data/202512/icc_live_usall_2025_1205.csv
