family,label,date,value,method,source,n_items,coverage_weight,status
all_market,All market,2026-04-29,0.08171612300347365,ICC calculation,Constituent ICC aggregation,2726,,available
sp500,S&P 500,2026-04-29,0.07506716422611405,ICC calculation,Constituent ICC aggregation,500,,available
