family,label,date,value,method,source,n_items,coverage_weight,status
all_market,All market,2026-04-17,0.08101341610268616,ICC calculation,Constituent ICC aggregation,2723,,available
sp500,S&P 500,2026-04-17,0.07497356646740205,ICC calculation,Constituent ICC aggregation,500,,available
