family,label,date,value,method,source,n_items,coverage_weight,status
all_market,All market,2026-04-28,0.08173448853232779,ICC calculation,Constituent ICC aggregation,2715,,available
sp500,S&P 500,2026-04-28,0.07497393735227421,ICC calculation,Constituent ICC aggregation,500,,available
