date,family,value,method,n_items
2026-01-15,all_market,0.07565536024596203,ICC calculation,3277
2026-01-16,all_market,0.07599668546063651,ICC calculation,3277
2026-01-19,all_market,0.07595289757283168,ICC calculation,3277
2026-01-20,all_market,0.07707435572801603,ICC calculation,3281
2026-01-21,all_market,0.07454266637212634,ICC calculation,2684
2026-01-22,all_market,0.07444105364673041,ICC calculation,2685
2026-01-23,all_market,0.0746841675495182,ICC calculation,2686
2026-01-26,all_market,0.07447776461256914,ICC calculation,2686
2026-01-27,all_market,0.07470858983330668,ICC calculation,2685
2026-01-28,all_market,0.07510118634783204,ICC calculation,2685
2026-01-29,all_market,0.07416483490613406,ICC calculation,2686
2026-01-30,all_market,0.074875685540565,ICC calculation,2684
2026-02-03,all_market,0.07637966668201339,ICC calculation,2679
2026-02-04,all_market,0.07850459661039352,ICC calculation,2679
2026-02-05,all_market,0.07980948498270742,ICC calculation,2680
2026-02-06,all_market,0.0796548119442111,ICC calculation,2678
2026-02-09,all_market,0.07934333400673704,ICC calculation,2675
2026-02-10,all_market,0.07946229400597292,ICC calculation,2677
2026-02-11,all_market,0.07980777619098484,ICC calculation,2670
2026-02-12,all_market,0.08084736642824873,ICC calculation,2670
2026-02-13,all_market,0.08035371665282101,ICC calculation,2671
2026-02-16,all_market,0.08085063430364686,ICC calculation,2667
2026-02-17,all_market,0.08107438547557203,ICC calculation,2669
2026-02-18,all_market,0.08079543445140301,ICC calculation,2674
2026-02-19,all_market,0.08065706186656438,ICC calculation,2677
2026-02-20,all_market,0.08013869666476511,ICC calculation,2680
2026-02-23,all_market,0.08063573243873495,ICC calculation,2675
2026-02-24,all_market,0.08032221802077492,ICC calculation,2677
2026-02-25,all_market,0.08027522556300863,ICC calculation,2681
2026-02-26,all_market,0.08027617972937484,ICC calculation,2684
2026-02-27,all_market,0.08042145131520971,ICC calculation,2686
2026-03-02,all_market,0.07991778291584524,ICC calculation,2686
2026-03-03,all_market,0.08062021306494623,ICC calculation,2685
2026-03-04,all_market,0.08044246629288306,ICC calculation,2684
2026-03-05,all_market,0.08167693412719437,ICC calculation,2689
2026-03-06,all_market,0.08253483342005986,ICC calculation,2691
2026-03-09,all_market,0.08237156345014156,ICC calculation,2692
2026-03-10,all_market,0.08255741764762678,ICC calculation,2694
2026-03-11,all_market,0.08255052197957262,ICC calculation,2696
2026-03-12,all_market,0.0833429789696598,ICC calculation,2696
2026-03-13,all_market,0.08358695434410436,ICC calculation,2700
2026-03-16,all_market,0.0826270096119614,ICC calculation,2700
2026-03-17,all_market,0.08243347893925357,ICC calculation,2703
2026-03-18,all_market,0.08327348325183137,ICC calculation,2708
2026-03-19,all_market,0.08364827189392098,ICC calculation,2709
2026-03-20,all_market,0.08540220830829871,ICC calculation,2711
2026-03-23,all_market,0.08428006017463553,ICC calculation,2709
2026-03-24,all_market,0.08434569421901288,ICC calculation,2708
2026-03-25,all_market,0.08406147179906223,ICC calculation,2711
2026-03-26,all_market,0.0848440474575655,ICC calculation,2719
2026-03-27,all_market,0.08564840296377041,ICC calculation,2721
2026-03-30,all_market,0.08614369564235469,ICC calculation,2721
2026-03-31,all_market,0.0846043873892946,ICC calculation,2721
2026-04-01,all_market,0.08424483667643325,ICC calculation,2729
2026-04-02,all_market,0.08421194385018924,ICC calculation,2728
2026-04-03,all_market,0.08406764350186137,ICC calculation,2724
2026-04-06,all_market,0.08384452822437223,ICC calculation,2726
2026-04-07,all_market,0.08366881372504427,ICC calculation,2726
2026-04-08,all_market,0.08229793048606057,ICC calculation,2724
2026-04-09,all_market,0.08247046461939787,ICC calculation,2726
2026-04-10,all_market,0.08271952705504597,ICC calculation,2721
2026-04-13,all_market,0.08233123928352122,ICC calculation,2719
2026-04-14,all_market,0.08192118984821269,ICC calculation,2721
2026-04-15,all_market,0.08170929701047211,ICC calculation,2720
2026-04-16,all_market,0.08165551595446656,ICC calculation,2724
2025-10-28,sp500,0.06385038804489955,ICC calculation,502
2025-10-29,sp500,0.06409704251561504,ICC calculation,502
2025-10-30,sp500,0.06508549053558753,ICC calculation,502
2025-10-31,sp500,0.06511265513855775,ICC calculation,501
2025-11-03,sp500,0.06536408405994593,ICC calculation,501
2025-11-04,sp500,0.06568197037594754,ICC calculation,501
2025-11-05,sp500,0.06542282520967908,ICC calculation,501
2025-11-06,sp500,0.06602005013699455,ICC calculation,501
2025-11-07,sp500,0.0658709125077403,ICC calculation,500
2025-11-10,sp500,0.06559303680020566,ICC calculation,501
2025-11-11,sp500,0.06546967842396231,ICC calculation,501
2025-11-12,sp500,0.06575941752748253,ICC calculation,501
2025-11-13,sp500,0.06660470388282475,ICC calculation,501
2025-11-14,sp500,0.06691322664920919,ICC calculation,501
2025-11-17,sp500,0.06729190471078396,ICC calculation,502
2025-11-18,sp500,0.06755013899662468,ICC calculation,502
2025-11-19,sp500,0.06731089613814646,ICC calculation,502
2025-11-20,sp500,0.06917104009644617,ICC calculation,502
2025-11-24,sp500,0.0679149047938529,ICC calculation,502
2025-11-26,sp500,0.0673066743106299,ICC calculation,502
2025-11-27,sp500,0.0672968960507204,ICC calculation,502
2025-11-28,sp500,0.06704505106919476,ICC calculation,502
2025-12-01,sp500,0.06735404414863305,ICC calculation,501
2025-12-02,sp500,0.0673114017076002,ICC calculation,502
2025-12-03,sp500,0.06703603537393457,ICC calculation,502
2025-12-04,sp500,0.06710189754446967,ICC calculation,502
2025-12-05,sp500,0.06700326492097802,ICC calculation,502
2025-12-08,sp500,0.06737787282209594,ICC calculation,502
2025-12-09,sp500,0.06739011313915971,ICC calculation,502
2025-12-10,sp500,0.06714901135879887,ICC calculation,501
2025-12-11,sp500,0.06701812278953245,ICC calculation,501
2025-12-12,sp500,0.06767329735676415,ICC calculation,500
2025-12-15,sp500,0.0678294184064622,ICC calculation,501
2025-12-16,sp500,0.06799014070807206,ICC calculation,501
2025-12-17,sp500,0.06857129717670164,ICC calculation,501
2025-12-18,sp500,0.06819115690843186,ICC calculation,501
2025-12-19,sp500,0.0681645883786361,ICC calculation,501
2025-12-22,sp500,0.06807008963831669,ICC calculation,501
2025-12-23,sp500,0.06802613777753075,ICC calculation,499
2025-12-24,sp500,0.06781607432001784,ICC calculation,499
2025-12-25,sp500,0.06783320684719624,ICC calculation,499
2025-12-26,sp500,0.06790524480419664,ICC calculation,499
2025-12-29,sp500,0.06804463052556269,ICC calculation,499
2025-12-30,sp500,0.06812874034595798,ICC calculation,499
2025-12-31,sp500,0.06846715355482065,ICC calculation,499
2026-01-01,sp500,0.06846459233629582,ICC calculation,500
2026-01-02,sp500,0.06843254406851189,ICC calculation,501
2026-01-05,sp500,0.0678929252970122,ICC calculation,497
2026-01-06,sp500,0.06768487976678952,ICC calculation,497
2026-01-07,sp500,0.06781276843417244,ICC calculation,497
2026-01-08,sp500,0.06773361097944448,ICC calculation,497
2026-01-09,sp500,0.06744258262637452,ICC calculation,497
2026-01-12,sp500,0.06740415683426457,ICC calculation,496
2026-01-13,sp500,0.06769618686705364,ICC calculation,496
2026-01-14,sp500,0.06785427680125362,ICC calculation,496
2026-01-15,sp500,0.06805037218643983,ICC calculation,496
2026-01-16,sp500,0.06817249582034454,ICC calculation,496
2026-01-19,sp500,0.06812944192730826,ICC calculation,496
2026-01-20,sp500,0.06928492488988393,ICC calculation,496
2026-01-21,sp500,0.0689539185928104,ICC calculation,495
2026-01-22,sp500,0.06882813785572822,ICC calculation,495
2026-01-23,sp500,0.0691114757150584,ICC calculation,495
2026-01-26,sp500,0.06898439095251283,ICC calculation,495
2026-01-27,sp500,0.06947907181125385,ICC calculation,495
2026-01-28,sp500,0.06948957834698481,ICC calculation,495
2026-01-29,sp500,0.06903422154965734,ICC calculation,497
2026-01-30,sp500,0.06949106104919214,ICC calculation,497
2026-02-03,sp500,0.07110565703785837,ICC calculation,496
2026-02-04,sp500,0.07082231086169674,ICC calculation,496
2026-02-05,sp500,0.07497588609145042,ICC calculation,496
2026-02-06,sp500,0.07502093195326427,ICC calculation,496
2026-02-09,sp500,0.07473837330177734,ICC calculation,496
2026-02-10,sp500,0.07512630868991586,ICC calculation,496
2026-02-11,sp500,0.07539150669103345,ICC calculation,496
2026-02-12,sp500,0.07628148812249078,ICC calculation,496
2026-02-13,sp500,0.07641902308286991,ICC calculation,496
2026-02-16,sp500,0.07647095471625483,ICC calculation,496
2026-02-17,sp500,0.07660536099162935,ICC calculation,496
2026-02-18,sp500,0.07654050219861844,ICC calculation,496
2026-02-19,sp500,0.07677636393669138,ICC calculation,496
2026-02-20,sp500,0.07638525463045794,ICC calculation,496
2026-02-23,sp500,0.0770576837648785,ICC calculation,496
2026-02-24,sp500,0.07689768609460049,ICC calculation,496
2026-02-25,sp500,0.07673253543163475,ICC calculation,496
2026-02-26,sp500,0.07378859755320966,ICC calculation,496
2026-02-27,sp500,0.07395991999074679,ICC calculation,496
2026-03-02,sp500,0.07384518689463118,ICC calculation,495
2026-03-03,sp500,0.07424068648706249,ICC calculation,495
2026-03-04,sp500,0.07419240884989318,ICC calculation,501
2026-03-05,sp500,0.07540820323204772,ICC calculation,501
2026-03-06,sp500,0.07598419755862147,ICC calculation,501
2026-03-09,sp500,0.07596853622969772,ICC calculation,501
2026-03-10,sp500,0.0761408169324043,ICC calculation,501
2026-03-11,sp500,0.07617988088716068,ICC calculation,501
2026-03-12,sp500,0.07683473594671442,ICC calculation,501
2026-03-13,sp500,0.07712571264052383,ICC calculation,501
2026-03-16,sp500,0.07655681309290481,ICC calculation,501
2026-03-17,sp500,0.07641440056347147,ICC calculation,501
2026-03-18,sp500,0.0776629337624896,ICC calculation,501
2026-03-19,sp500,0.07781684892630251,ICC calculation,501
2026-03-20,sp500,0.07845866400141227,ICC calculation,501
2026-03-23,sp500,0.07876554765792887,ICC calculation,501
2026-03-24,sp500,0.07893744979754445,ICC calculation,501
2026-03-25,sp500,0.07866412455686017,ICC calculation,500
2026-03-26,sp500,0.0793986669195491,ICC calculation,500
2026-03-27,sp500,0.08028739616071724,ICC calculation,500
2026-03-30,sp500,0.08027931314886187,ICC calculation,500
2026-03-31,sp500,0.07889568917176408,ICC calculation,500
2026-04-01,sp500,0.0784875336195354,ICC calculation,500
2026-04-02,sp500,0.07849130427216776,ICC calculation,500
2026-04-03,sp500,0.07840426934784,ICC calculation,500
2026-04-06,sp500,0.07820711667158994,ICC calculation,500
2026-04-07,sp500,0.07818730088016826,ICC calculation,500
2026-04-08,sp500,0.07705306641904613,ICC calculation,500
2026-04-09,sp500,0.07684847746875212,ICC calculation,499
2026-04-10,sp500,0.07702641166459312,ICC calculation,500
2026-04-13,sp500,0.07666735898881136,ICC calculation,500
2026-04-14,sp500,0.07614673715602163,ICC calculation,500
2026-04-15,sp500,0.07569297028442881,ICC calculation,500
2026-04-16,sp500,0.0754672706502571,ICC calculation,500
