date,country,ticker,name,mktcap,icc,selected
2026-07-07,Argentina,YPF,YPF Sociedad Anonima,18480941056.0,0.0828606712575473,True
2026-07-07,Australia,BHP,BHP Group Limited,203811897344.0,0.0821066737515305,True
2026-07-07,Bermuda,ACGL,Arch Capital Group Ltd.,35934720000.0,0.0800742685057268,True
2026-07-07,Brazil,PBR,Petroleo Brasileiro S.A. Petrob,107363139584.0,0.1619183513775718,True
2026-07-07,Canada,RY,Royal Bank Of Canada,290536718336.0,0.0903985366182941,True
2026-07-07,Cayman Islands,CRDO,Credo Technology Group Holding ,45948153856.0,0.0994129692128479,True
2026-07-07,Chile,SQM,Sociedad Quimica y Minera S.A.,20965816320.0,0.063012020254409,True
2026-07-07,China,BABA,Alibaba Group Holding Limited,235348377600.0,0.3535889665151114,True
2026-07-07,Denmark,EVAX,Evaxion A/S,27606112.0,0.0169209321442234,True
2026-07-07,France,LVMUY,LVMH-Moet Hennessy Louis Vuitto,278675062784.0,0.0821424223827505,True
2026-07-07,Germany,SIEGY,Siemens AG,236539543552.0,0.0789912370872197,True
2026-07-07,Greece,ESEA,Euroseas Ltd.,480824224.0,0.1347079397418565,True
2026-07-07,Hong Kong,FUTU,Futu Holdings Limited,13182488576.0,0.4,True
2026-07-07,India,HDB,HDFC Bank Limited,139278368768.0,0.0794313528488269,True
2026-07-07,Ireland,PDD,PDD Holdings Inc.,117472911360.0,0.3602231587967716,True
2026-07-07,Israel,TEVA,Teva Pharmaceutical Industries ,40347398144.0,0.1451276938739131,True
2026-07-07,Italy,ISNPY,Intesa Sanpaolo S.p.A.,125509058560.0,0.1147174532663247,True
2026-07-07,Japan,MUFG,"Mitsubishi UFJ Financial Group,",240084631552.0,0.0764666071554354,True
2026-07-07,Jersey,CSHR,CoinShares PLC,517896224.0,0.2489109990117067,True
2026-07-07,Luxembourg,MT,Arcelor Mittal NY Registry Shar,47775461376.0,0.1759360194908826,True
2026-07-07,Malaysia,EMPG,Empro Group Inc.,143046400.0,0.01,True
2026-07-07,Mexico,AMX,"America Movil, S.A.B. de C.V.",78528446464.0,0.0926389364661123,True
2026-07-07,Netherlands,ASML,ASML Holding N.V. - New York Re,673432600576.0,0.0709400985635551,True
2026-07-07,Singapore,FUFU,BitFuFu Inc.,226648896.0,0.0433169857732597,True
2026-07-07,South Africa,NPSNY,Naspers Ltd.,39151886336.0,0.0774495366682526,True
2026-07-07,South Korea,KB,KB Financial Group Inc,40959340544.0,0.4,True
2026-07-07,Spain,SAN,"Banco Santander, S.A. Sponsored",203315478528.0,0.1105987839780545,True
2026-07-07,Sweden,SPOT,Spotify Technology S.A.,101566029824.0,0.0629113010263311,True
2026-07-07,Switzerland,RHHBY,Roche Holding Ltd,336407592960.0,0.0794040881158156,True
2026-07-07,Taiwan,TSM,Taiwan Semiconductor Manufactur,2243513024512.0,0.0910927003531859,True
2026-07-07,United Arab Emirates,AIIR,Air Global PLC,1067372928.0,0.1053927527299868,True
2026-07-07,United Kingdom,HSBC,"HSBC Holdings, plc.",334047150080.0,0.1166063339649171,True
2026-07-07,United States,BAM,Brookfield Asset Management Inc,74362347520.0,0.0925730032759549,True
2026-07-07,Uruguay,MELI,"MercadoLibre, Inc.",91944919040.0,0.0894621519982331,True
