date,country,icc,n_candidates,n_selected,n_icc_available,coverage_mktcap,method,status
2026-07-01,Argentina,0.1835328357532663,7,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-01,Australia,0.07886389914666163,4,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-01,Brazil,0.14471432596030745,10,9,9,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-01,Canada,0.09056316457865972,11,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-01,Chile,0.14572752792253996,5,5,5,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-01,China,0.3198717497967814,15,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-01,Colombia,0.10050258319759786,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-01,France,0.11056849665030138,9,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-01,Germany,0.11413441733256775,10,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-01,India,0.09613568163293622,8,7,7,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-01,Israel,0.12964977792336643,7,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-01,Italy,0.07043651378953204,4,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-01,Japan,0.10522965114090109,9,9,9,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-01,Luxembourg,0.06564470050085212,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-01,Mexico,0.08604608033260616,8,7,7,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-01,Netherlands,0.08333594485892006,8,8,8,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-01,Peru,0.10813884677019438,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-01,Singapore,0.10277819702168124,4,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-01,South Africa,0.16607920946714197,4,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-01,South Korea,0.21684756418737894,6,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-01,Spain,0.10960544707770103,5,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-01,Switzerland,0.10049039726631126,6,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-07-01,Taiwan,0.09114804007170181,4,4,4,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-07-01,United Kingdom,0.08393760273809509,14,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
