date,country,ticker,company,icc,mktcap,source
2026-05-04,Canada,BMO,Bank of Montreal,0.12022646867237285,105709797376.0,builtin_major_adr_universe
2026-05-04,Canada,CM,CIBC,0.09998539024024258,101183283200.0,builtin_major_adr_universe
2026-05-04,Canada,BN,Brookfield Corporation Class A Limited Voting Shares,0.3189282542725863,100626063360.0,nasdaq_trader_symbol_directory
2026-05-04,Canada,CNQ,Canadian Natural Resources,0.08152133413058621,99291398144.0,builtin_major_adr_universe
2026-05-04,Canada,BNS,Scotiabank,0.12724982710056143,94290870272.0,builtin_major_adr_universe
2026-05-04,Canada,AEM,Agnico Eagle Mines Limited Common Stock,0.06850290319639413,89971515392.0,nasdaq_trader_symbol_directory
2026-05-04,Cayman Islands,CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,0.11886305932893515,33212055552.0,nasdaq_trader_symbol_directory
2026-05-04,Cayman Islands,STNE,StoneCo Ltd. - Class A Common Share,0.36713137993469747,2636593920.0,nasdaq_trader_symbol_directory
2026-05-04,Cayman Islands,PAX,Patria Investments Limited - Class A Common Shares,0.1600904670689557,2046473984.0,nasdaq_trader_symbol_directory
2026-05-04,Cayman Islands,GLRE,"Greenlight Reinsurance, Ltd. - Class A Ordinary Shares",0.07204871072680652,588781376.0,nasdaq_trader_symbol_directory
2026-05-04,Cayman Islands,CWCO,Consolidated Water Co. Ltd. - Ordinary Shares,0.1357104361176179,513926080.0,nasdaq_trader_symbol_directory
2026-05-04,Chile,SQM,SQM,0.05289742390829988,25635995648.0,builtin_major_adr_universe
2026-05-04,Chile,BCH,Banco de Chile,0.10025263955089392,18359853056.0,builtin_major_adr_universe
2026-05-04,Chile,BSAC,Banco Santander - Chile ADS,0.13177635014586125,14420840448.0,nasdaq_trader_symbol_directory
2026-05-04,Chile,LTM,LATAM Airlines,0.20771982596776162,13249590272.0,builtin_major_adr_universe
2026-05-04,Chile,ENIC,Enel Chile,0.4,6141990400.0,builtin_major_adr_universe
2026-05-04,Chile,AKO-B,Embotelladora Andina S.A. Common Stock,0.4,4220126976.0,nasdaq_trader_symbol_directory
2026-05-04,Chile,CCU,CCU,0.1087435498497974,2049492352.0,builtin_major_adr_universe
2026-05-04,China,TCEHY,Tencent Holdings Ltd,0.22880794750822375,546322907136.0,citi_dr_directory
2026-05-04,China,BABA,Alibaba Group,0.32032664484388007,328854601728.0,builtin_major_adr_universe
2026-05-04,China,BACHY,Bank of China,0.037411122528462695,208406986752.0,citi_dr_directory
2026-05-04,China,PDD,PDD Holdings,0.3345437700920245,139193942016.0,builtin_major_adr_universe
2026-05-04,China,BYDDY,BYD Co. Ltd,0.0780039073570481,119526457344.0,citi_dr_directory
2026-05-04,China,XIACY,Xiaomi Corporation,0.28479888053952906,101604974592.0,citi_dr_directory
2026-05-04,China,NTES,NetEase,0.25468131526938775,74182393856.0,builtin_major_adr_universe
2026-05-04,Colombia,EC,Ecopetrol,0.08732576507600753,28843360256.0,builtin_major_adr_universe
2026-05-04,Colombia,CIB,Bancolombia,0.14116029239153727,15474439168.0,builtin_major_adr_universe
2026-05-04,Colombia,AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),0.13791363486744002,5140462080.0,nasdaq_trader_symbol_directory
2026-05-04,Colombia,GPRK,Geopark Ltd Common Shares,0.259923824477278,629324416.0,nasdaq_trader_symbol_directory
2026-05-04,Cyprus,FRO,Frontline Plc Ordinary Shares,0.09950172967734294,8250404864.0,nasdaq_trader_symbol_directory
2026-05-04,Denmark,NVO,Novo Nordisk,0.18894234052203773,196834230272.0,builtin_major_adr_universe
2026-05-04,Denmark,DSDVY,DSV A/S,0.21968568203280198,53739257856.0,citi_dr_directory
2026-05-04,Denmark,DNNGY,Orsted,0.0740300100398733,34400727040.0,builtin_major_adr_universe
2026-05-04,Denmark,AMKBY,A.P. Moller - Maersk A/S,0.033311096978881766,34070773760.0,citi_dr_directory
2026-05-04,Denmark,VWDRY,Vestas Wind Systems,0.09128059385875298,29706573824.0,citi_dr_directory
2026-05-04,Denmark,NVZMY,Novonesis (Novozymes) B,0.05218454946350548,29337548800.0,citi_dr_directory
2026-05-04,Denmark,CABGY,Carlsberg A/S,0.2354335698164397,17473148928.0,citi_dr_directory
2026-05-04,Denmark,GMAB,Genmab A/S - American Depositary Shares,0.14131100600062518,16600142848.0,nasdaq_trader_symbol_directory
2026-05-04,Denmark,CLPBY,Coloplast A/S,0.09165460425777885,14198108160.0,citi_dr_directory
2026-05-04,Denmark,ASND,Ascendis Pharma A/S,0.10862205565537686,14129647616.0,citi_dr_directory
2026-05-04,Finland,NOK,Nokia,0.06966889631022943,73354502144.0,builtin_major_adr_universe
2026-05-04,Finland,NRDBY,Nordea Bank ABP,0.12245747586062061,62105690112.0,citi_dr_directory
2026-05-04,Finland,KNYJY,Kone OYJ,0.08057145005631175,31418353664.0,citi_dr_directory
2026-05-04,Finland,NTOIY,Neste Oyj,0.06073890292270018,27135744000.0,citi_dr_directory
2026-05-04,Finland,SAXPY,Sampo OYJ,0.37834173302089014,26941822976.0,citi_dr_directory
2026-05-04,Finland,FOJCY,Fortum Oyj,0.1366627651310478,22655928320.0,citi_dr_directory
2026-05-04,Finland,UPMMY,UPM-Kymmene Corporation,0.24077300908491506,15556059136.0,citi_dr_directory
2026-05-04,Finland,SEOAY,Stora Enso Oyj,0.17792006915899095,8556527104.0,citi_dr_directory
2026-05-04,France,LVMUY,LVMH,0.08456125724408772,256526778368.0,builtin_major_adr_universe
2026-05-04,France,LRLCY,L'Oreal,0.058181172701512573,223415681024.0,builtin_major_adr_universe
2026-05-04,France,TTE,TotalEnergies,0.09410656902226716,205503692800.0,builtin_major_adr_universe
2026-05-04,France,HESAY,Hermes International S.C.A.,0.05726594015485158,193969782784.0,citi_dr_directory
2026-05-04,France,SBGSY,Schneider Electric SE,0.06576115565896024,171203313664.0,citi_dr_directory
2026-05-04,France,EADSY,Airbus,0.07059231780543296,163232645120.0,builtin_major_adr_universe
2026-05-04,France,SAFRY,Safran S.A.,0.14761504843077533,128748494848.0,citi_dr_directory
2026-05-04,France,AIQUY,Air Liquide S.A.,0.06689565413187137,119369621504.0,citi_dr_directory
2026-05-04,France,BNPQY,BNP Paribas,0.18073188466785883,111594078208.0,builtin_major_adr_universe
2026-05-04,France,SNY,Sanofi,0.12049656716911727,103860101120.0,builtin_major_adr_universe
2026-05-04,Germany,SIEGY,Siemens,0.08038100584717134,224341065728.0,builtin_major_adr_universe
2026-05-04,Germany,SAP,SAP,0.08629351461969831,202092576768.0,builtin_major_adr_universe
2026-05-04,Germany,ALIZY,Allianz,0.09788871727572249,167116455936.0,builtin_major_adr_universe
2026-05-04,Germany,DTEGY,Deutsche Telekom,0.10568028641159788,154000588800.0,builtin_major_adr_universe
