date,country,country_region,icc,vw_icc,method,n_candidates,n_selected,n_icc_available,coverage_mktcap,status,constituents,source_note
2026-05-04,Italy,Italy,,,Unavailable,1,1,0,0.0,unavailable,GNTA,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Kazakhstan,Kazakhstan,,,Unavailable,1,1,1,1.0,unavailable,KSPI,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Luxembourg,Luxembourg,,,Unavailable,2,2,2,1.0,unavailable,"TS, TX",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Macau,Macau,,,Unavailable,1,1,0,0.0,unavailable,NWGL,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Netherlands,Netherlands,,,Unavailable,3,3,3,1.0,unavailable,"ARGX, PHAR, ZEPP",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Norway,Norway,,,Unavailable,1,1,1,1.0,unavailable,OPRA,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Peru,Peru,,,Unavailable,1,1,1,1.0,unavailable,CPAC,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Philippines,Philippines,,,Unavailable,1,1,1,1.0,unavailable,PHI,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Spain,Spain,,,Unavailable,3,3,2,0.9998609232192812,unavailable,"SAN, GRFS, TURB",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Sweden,Sweden,,,Unavailable,5,5,1,0.5395890165495261,unavailable,"ERIC, PSNYW, PSNY, OTLY, NIPG",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Switzerland,Switzerland,,,Unavailable,4,4,2,0.9948249504523065,unavailable,"ONC, MOLN, WKEY, ADXN",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Taiwan,Taiwan,,,Unavailable,3,3,3,1.0,unavailable,"ASX, HIMX, IMOS",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,Turkey,Turkey,,,Unavailable,1,1,1,1.0,unavailable,HEPS,Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
2026-05-04,United Arab Emirates,United Arab Emirates,,,Unavailable,2,2,2,1.0,unavailable,"VEON, YALA",Multi-source ADR universe; top-10 by market cap; minimum 4 valid ICC constituents.
