date,country,ticker,company,icc,mktcap,source
2026-05-05,Argentina,YPF,YPF,0.2004521165150276,18552537088.0,builtin_major_adr_universe
2026-05-05,Australia,BHP,BHP,0.0775685318463733,201296936960.0,builtin_major_adr_universe
2026-05-05,Austria,NEM,Newmont,0.0975943289819901,116373929984.0,citi_dr_directory
2026-05-05,Belgium,BUD,Anheuser-Busch InBev,0.0782289111900714,155748204544.0,builtin_major_adr_universe
2026-05-05,Bermuda,ACGL,Arch Capital Group Ltd. - Common Stock,0.0872537906112792,33250248704.0,nasdaq_trader_symbol_directory
2026-05-05,Brazil,PBR,Petrobras,0.1299623012515361,140293865472.0,builtin_major_adr_universe
2026-05-05,Canada,RY,Royal Bank of Canada,0.0999665335783849,248179376128.0,builtin_major_adr_universe
2026-05-05,Cayman Islands,CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,0.1144240224323401,35703975936.0,nasdaq_trader_symbol_directory
2026-05-05,Chile,SQM,SQM,0.0516152472037084,26461487104.0,builtin_major_adr_universe
2026-05-05,China,BABA,Alibaba Group,0.315536777729077,326362300416.0,builtin_major_adr_universe
2026-05-05,Colombia,EC,Ecopetrol,0.0896954042243373,29192853504.0,builtin_major_adr_universe
2026-05-05,Denmark,NVO,Novo Nordisk,0.1877104267939181,198962642944.0,builtin_major_adr_universe
2026-05-05,Finland,NOK,Nokia,0.0686238304134408,74917609472.0,builtin_major_adr_universe
2026-05-05,France,LVMUY,LVMH,0.083838269831091,259492397056.0,builtin_major_adr_universe
2026-05-05,Germany,SIEGY,Siemens,0.0778148557938672,234539794432.0,builtin_major_adr_universe
2026-05-05,Greece,ESEA,Euroseas Ltd. - Common Stock,0.1257087849524113,508517344.0,nasdaq_trader_symbol_directory
2026-05-05,Hong Kong,BKEAY,"Bank of East Asia, Limited",0.01,4891074048.0,citi_dr_directory
2026-05-05,India,HDB,HDFC Bank,0.084462218597387,127422824448.0,builtin_major_adr_universe
2026-05-05,Indonesia,PPERY,PT Bank Mandiri (Persero) Tbk,0.4,24173332480.0,citi_dr_directory
2026-05-05,Ireland,AIBGY,AIB Group plc,0.1380748643071642,23870943232.0,citi_dr_directory
2026-05-05,Israel,TEVA,Teva,0.1258808788240996,41756352512.0,builtin_major_adr_universe
2026-05-05,Italy,ISNPY,Intesa Sanpaolo,0.1269385605314484,117946785792.0,builtin_major_adr_universe
2026-05-05,Japan,TM,Toyota,0.1388245578548853,224968179712.0,builtin_major_adr_universe
2026-05-05,Jersey,BMRRY,B&M European Value Retail plc,0.1499762108480243,2279380224.0,citi_dr_directory
2026-05-05,Kazakhstan,KSPI,JSC Kaspi.kz,0.4,15989381120.0,citi_dr_directory
2026-05-05,Luxembourg,SPOT,Spotify,0.069834474011268,86263783424.0,builtin_major_adr_universe
2026-05-05,Mexico,AMX,America Movil,0.0601924043751923,81965268992.0,builtin_major_adr_universe
2026-05-05,Netherlands,ASML,ASML,0.0693346583616273,556126896128.0,builtin_major_adr_universe
2026-05-05,New Zealand,SPKKY,Spark New Zealand Limited,0.0648588960095258,2324834560.0,citi_dr_directory
2026-05-05,Norway,EQNR,Equinor,0.0871066288128673,103075823616.0,builtin_major_adr_universe
2026-05-05,Peru,BAP,Credicorp,0.1145734349496751,25270323200.0,builtin_major_adr_universe
2026-05-05,Portugal,GLPEY,Galp Energia SGPS SA,0.0645784776450973,18604892160.0,citi_dr_directory
2026-05-05,S. Africa,MTNOY,MTN Group Limited,0.2587904936602395,23773652992.0,citi_dr_directory
2026-05-05,Singapore,DBSDY,DBS Group,0.0759880219553502,130133934080.0,builtin_major_adr_universe
2026-05-05,South Africa,NPSNY,Naspers,0.0874245686427172,40753364992.0,builtin_major_adr_universe
2026-05-05,South Korea,KEP,Korea Electric Power Corporation (KEPCO),0.01,19952244736.0,citi_dr_directory
2026-05-05,Spain,SAN,Santander,0.1171275238531505,171076026368.0,builtin_major_adr_universe
2026-05-05,Sweden,ATLKY,Atlas Copco AB,0.0749063027395392,92693790720.0,citi_dr_directory
2026-05-05,Switzerland,RHHBY,Roche,0.0784234463454273,327454752768.0,builtin_major_adr_universe
2026-05-05,Taiwan,TSM,Taiwan Semiconductor,0.0885346614074745,2045568090112.0,builtin_major_adr_universe
2026-05-05,Thailand,AVIFY,Advanced Info Service Ltd.,0.1719168151384126,37891629056.0,citi_dr_directory
2026-05-05,Turkey,KHOLY,KOC Holdings AG,0.0722122653622939,10753501184.0,citi_dr_directory
2026-05-05,United Kingdom,BAESY,BAE Systems plc,0.0773781527739923,82803851264.0,citi_dr_directory
2026-05-05,United States,FLEX,Flex Ltd. - Ordinary Shares,0.0548964085488573,35462148096.0,nasdaq_trader_symbol_directory
2026-05-05,Uruguay,MELI,MercadoLibre,0.0938272081969696,92132499456.0,builtin_major_adr_universe
