ticker,country,market_cap,sector,yf_name,quote_type,name,exchange,source,company,country_final,rank_in_country,ICC,mktcap,name_icc,sector_icc,weight_mktcap,country_region
BUD,Belgium,140046663680.0,Consumer Defensive,Anheuser-Busch Inbev SA Sponsor,EQUITY,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),N,nasdaq_trader_symbol_directories,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Belgium,1,0.08296863177677116,143229435904.0,Anheuser-Busch Inbev SA Sponsor,Consumer Defensive,143229435904.0,Belgium
GLPG,Belgium,1926128640.0,Healthcare,Galapagos NV,EQUITY,Galapagos NV - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,Galapagos NV - American Depositary Shares,Belgium,2,,,,,1926128640.0,Belgium
AGMB,Belgium,526651264.0,Healthcare,AgomAb Therapeutics NV,EQUITY,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ,nasdaq_trader_symbol_directories,AgomAb Therapeutics NV - ADRs representing one common share.,Belgium,3,,,,,526651264.0,Belgium
MTLS,Belgium,298887008.0,Technology,Materialise NV,EQUITY,Materialise NV - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,Materialise NV - American Depositary Shares,Belgium,4,0.14452977839188003,325068736.0,Materialise NV,Technology,325068736.0,Belgium
PBR,Brazil,137071673344.0,Energy,Petroleo Brasileiro S.A. Petrob,EQUITY,Petroleo Brasileiro S.A. Petrobras ADS,N,nasdaq_trader_symbol_directories,Petroleo Brasileiro S.A. Petrobras ADS,Brazil,1,0.12890009739924413,141840498688.0,Petroleo Brasileiro S.A. Petrob,Energy,141840498688.0,Brazil
VALE,Brazil,74818084864.0,Basic Materials,VALE S.A.,EQUITY,VALE S.A.  American Depositary Shares Each Representing one common share,N,nasdaq_trader_symbol_directories,VALE S.A.  American Depositary Shares Each Representing one common share,Brazil,2,0.10532073345079362,69143437312.0,VALE S.A.,Basic Materials,69143437312.0,Brazil
ABEV,Brazil,45854281728.0,Consumer Defensive,Ambev S.A.,EQUITY,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N,nasdaq_trader_symbol_directories,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil,3,0.1139016804736458,45230415872.0,Ambev S.A.,Consumer Defensive,45230415872.0,Brazil
BBD,Brazil,41648607232.0,Financial Services,Banco Bradesco Sa,EQUITY,Banco Bradesco Sa American Depositary Shares,N,nasdaq_trader_symbol_directories,Banco Bradesco Sa American Depositary Shares,Brazil,4,0.14869161979095458,39640170496.0,Banco Bradesco Sa,Financial Services,39640170496.0,Brazil
BBDO,Brazil,36997492736.0,Financial Services,Banco Bradesco Sa,EQUITY,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),N,nasdaq_trader_symbol_directories,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),Brazil,5,,,,,36997492736.0,Brazil
AXIA,Brazil,28472682496.0,Utilities,AXIA Energia,EQUITY,AXIA Energia American Depositary Shares (Each representing one Common Share),N,nasdaq_trader_symbol_directories,AXIA Energia American Depositary Shares (Each representing one Common Share),Brazil,6,0.14005547356032577,27955406848.0,AXIA Energia,Utilities,27955406848.0,Brazil
