family,label,date,value,method,source,n_items,coverage_weight,status
Basic Materials,Basic Materials,2026-04-27,0.08176380032245531,ICC calculation,Constituent ICC aggregation,167,,available
Communication Services,Communication Services,2026-04-27,0.06740172417607075,ICC calculation,Constituent ICC aggregation,119,,available
Consumer Cyclical,Consumer Cyclical,2026-04-27,0.09449259761549175,ICC calculation,Constituent ICC aggregation,333,,available
Consumer Defensive,Consumer Defensive,2026-04-27,0.07314012461454217,ICC calculation,Constituent ICC aggregation,137,,available
Energy,Energy,2026-04-27,0.08294210303029532,ICC calculation,Constituent ICC aggregation,186,,available
Financial Services,Financial Services,2026-04-27,0.09270620857620496,ICC calculation,Constituent ICC aggregation,510,,available
Healthcare,Healthcare,2026-04-27,0.09555658068274271,ICC calculation,Constituent ICC aggregation,256,,available
Industrials,Industrials,2026-04-27,0.06789431197221309,ICC calculation,Constituent ICC aggregation,382,,available
Real Estate,Real Estate,2026-04-27,0.05733355443603107,ICC calculation,Constituent ICC aggregation,164,,available
Technology,Technology,2026-04-27,0.08139671774350582,ICC calculation,Constituent ICC aggregation,377,,available
Utilities,Utilities,2026-04-27,0.07723406070109859,ICC calculation,Constituent ICC aggregation,80,,available
