family,label,date,value,method,source,n_items,coverage_weight,status
Basic Materials,Basic Materials,2026-04-29,0.08356498487010595,ICC calculation,Constituent ICC aggregation,167,,available
Communication Services,Communication Services,2026-04-29,0.06761316691763078,ICC calculation,Constituent ICC aggregation,124,,available
Consumer Cyclical,Consumer Cyclical,2026-04-29,0.0944147624170491,ICC calculation,Constituent ICC aggregation,334,,available
Consumer Defensive,Consumer Defensive,2026-04-29,0.0727468077061281,ICC calculation,Constituent ICC aggregation,137,,available
Energy,Energy,2026-04-29,0.08118550888116853,ICC calculation,Constituent ICC aggregation,187,,available
Financial Services,Financial Services,2026-04-29,0.09301264581232532,ICC calculation,Constituent ICC aggregation,513,,available
Healthcare,Healthcare,2026-04-29,0.09595319432941062,ICC calculation,Constituent ICC aggregation,257,,available
Industrials,Industrials,2026-04-29,0.06884983281408792,ICC calculation,Constituent ICC aggregation,384,,available
Real Estate,Real Estate,2026-04-29,0.05642458638244505,ICC calculation,Constituent ICC aggregation,164,,available
Technology,Technology,2026-04-29,0.08175130794184984,ICC calculation,Constituent ICC aggregation,377,,available
Utilities,Utilities,2026-04-29,0.0722257178097829,ICC calculation,Constituent ICC aggregation,80,,available
