family,label,date,value,method,source,n_items,coverage_weight,status
Basic Materials,Basic Materials,2026-04-23,0.08188431696664206,ICC calculation,Constituent ICC aggregation,167,,available
Communication Services,Communication Services,2026-04-23,0.06911052544932858,ICC calculation,Constituent ICC aggregation,124,,available
Consumer Cyclical,Consumer Cyclical,2026-04-23,0.09464494507348177,ICC calculation,Constituent ICC aggregation,334,,available
Consumer Defensive,Consumer Defensive,2026-04-23,0.07310405864431838,ICC calculation,Constituent ICC aggregation,136,,available
Energy,Energy,2026-04-23,0.08209030989833871,ICC calculation,Constituent ICC aggregation,187,,available
Financial Services,Financial Services,2026-04-23,0.0907036299763344,ICC calculation,Constituent ICC aggregation,514,,available
Healthcare,Healthcare,2026-04-23,0.09469112918824385,ICC calculation,Constituent ICC aggregation,256,,available
Industrials,Industrials,2026-04-23,0.06704624781281912,ICC calculation,Constituent ICC aggregation,383,,available
Real Estate,Real Estate,2026-04-23,0.05712295038769757,ICC calculation,Constituent ICC aggregation,164,,available
Technology,Technology,2026-04-23,0.08163783576848077,ICC calculation,Constituent ICC aggregation,377,,available
Utilities,Utilities,2026-04-23,0.07704962579626305,ICC calculation,Constituent ICC aggregation,80,,available
