date,country,ticker,name,mktcap,icc,selected
2026-06-16,Argentina,CRESY,Cresud S.A.C.I.F. y A.,856067136.0,0.0110012072649191,True
2026-06-16,Australia,IREN,IREN LIMITED,21149671424.0,0.017945251247006,True
2026-06-16,Belgium,LKFT,Lakefront Biotherapeutics,1856979456.0,0.1495902953270996,True
2026-06-16,Bermuda,ACGL,Arch Capital Group Ltd.,32346488832.0,0.0859621273539356,True
2026-06-16,Brazil,ITUB,Itau Unibanco Banco Holding SA,87623884800.0,0.117949125900291,True
2026-06-16,Canada,OBA,Oxley Bridge Acquisition Limite,323523744.0,0.0340780449639284,True
2026-06-16,Cayman Islands,CRDO,Credo Technology Group Holding ,44601782272.0,0.0961178652954469,True
2026-06-16,China,HTHT,H World Group Limited,13331156992.0,0.2634405449502505,True
2026-06-16,Cyprus,GDEV,GDEV Inc.,225066048.0,0.2311666915293949,True
2026-06-16,Denmark,GMAB,Genmab A/S,15188727808.0,0.1964541483394964,True
2026-06-16,France,NBTX,Nanobiotix S.A.,1827780480.0,0.0166886526221788,True
2026-06-16,Germany,INIO,INNIO N.V.,25680001024.0,0.01,True
2026-06-16,Greece,ESEA,Euroseas Ltd.,489960384.0,0.1329807457449142,True
2026-06-16,Hong Kong,FUTU,Futu Holdings Limited,13460073472.0,0.4,True
2026-06-16,Ireland,JAZZ,Jazz Pharmaceuticals plc,14235090944.0,0.0690728225333124,True
2026-06-16,Israel,ESLT,Elbit Systems Ltd.,38498668544.0,0.0402695582395645,True
2026-06-16,Japan,MWC,"Micware Co., Ltd.",231838224.0,0.0371307049303747,True
2026-06-16,Jersey,CSHR,CoinShares PLC,574561728.0,0.2299396296632873,True
2026-06-16,Jordan,IGIC,International General Insurance,1069052992.0,0.1113040138354307,True
2026-06-16,Luxembourg,ALVO,Alvotech,1207626880.0,0.118825264856468,True
2026-06-16,Malaysia,EMPG,Empro Group Inc.,143046400.0,0.01,True
2026-06-16,Netherlands,NBIS,Nebius Group N.V.,67308412928.0,0.01,True
2026-06-16,Singapore,GRAB,Grab Holdings Limited,14274099200.0,0.1084730246773177,True
2026-06-16,South Korea,DDI,"DoubleDown Interactive Co., Ltd",584730624.0,0.1048873111328331,True
2026-06-16,Sweden,ERIC,Ericsson,38989733888.0,0.0711479801231658,True
2026-06-16,Switzerland,AEBI,Aebi Schmidt Holding AG,951775232.0,0.2378107059489222,True
2026-06-16,Taiwan,HIMX,"Himax Technologies, Inc.",2928611328.0,0.1771913129582502,True
2026-06-16,Thailand,NIVF,NewGenIvf Group Limited,1944592.0,0.4,True
2026-06-16,Turkey,HEPS,D-Market Electronic Services & ,971652608.0,0.3486882521817759,True
2026-06-16,United Arab Emirates,KYIV,Kyivstar Group Ltd.,3227473152.0,0.4,True
2026-06-16,United Kingdom,ARM,Arm Holdings plc,423322353664.0,0.0339509531899339,True
2026-06-16,United States,FLEX,Flex Ltd.,53831905280.0,0.1268306564277989,True
