date,country,icc,n_candidates,n_selected,n_icc_available,coverage_mktcap,method,status
2026-06-29,Argentina,0.18321839647405538,7,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-29,Brazil,0.14446826909310667,10,9,9,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-29,Canada,0.09135260958214636,11,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-29,Chile,0.14770307016308787,5,5,5,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-29,China,0.3237590684420318,15,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-29,Colombia,0.08982210707767652,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-29,France,0.10727461066282735,9,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-29,Germany,0.11585916536257089,10,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-29,India,0.09538462062047853,8,7,7,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-29,Israel,0.13084555029993747,7,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-29,Italy,0.0703776659107632,4,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-29,Japan,0.1060567921526649,9,9,9,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-29,Luxembourg,0.0665949472071479,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-29,Mexico,0.08501368273440846,8,7,7,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-29,Netherlands,0.0799530382606919,8,8,8,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-29,Peru,0.10878221751655354,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-29,Singapore,0.10771525896907537,4,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-29,South Africa,0.1674935541935078,4,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-29,South Korea,0.21315121851126154,6,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-29,Spain,0.11044146468375111,5,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-29,Switzerland,0.09930934883920184,6,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-29,Taiwan,0.08973259710294658,4,4,4,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-29,United Kingdom,0.082996934099545,14,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
