date,country,icc,n_candidates,n_selected,n_icc_available,coverage_mktcap,method,status
2026-06-05,Argentina,0.1659655392371588,7,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-05,Brazil,0.1432023079394022,10,9,9,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-05,Canada,0.0924851510991444,11,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-05,Chile,0.13849840229788615,5,5,5,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-05,China,0.30339150595218284,15,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-05,Colombia,0.10070337394789647,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-05,France,0.09941243394009135,9,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-05,Germany,0.10624793842253363,10,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-05,India,0.09738624181609146,8,7,7,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-05,Israel,0.11474689298545954,7,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-05,Italy,0.07122339384174327,4,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-05,Japan,0.08704028913001681,9,9,9,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-05,Luxembourg,0.06275261142793903,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-05,Mexico,0.08904843253082279,8,7,7,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-05,Netherlands,0.08487162080289042,8,8,8,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-05,Peru,0.11266014170020472,2,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-05,Singapore,0.1059828464995074,4,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-05,South Africa,0.14834445454574355,4,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-05,South Korea,0.2058988927754233,6,6,6,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-05,Spain,0.11887969079596399,5,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-05,Switzerland,0.10409984771762351,6,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-05,Taiwan,0.08802082084978417,4,4,4,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-05,United Kingdom,0.08385563000889462,14,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
