date,country,icc,n_selected,n_icc_available,coverage_mktcap,method,status
2026-06-16,Argentina,0.0209225488434387,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-16,Belgium,0.1387611893446021,5,2,0.7679808932940307,Partial ADR estimate,partial_adr_estimate
2026-06-16,Bermuda,0.0903493396998119,7,4,0.7418224891596098,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-16,Brazil,0.1190581734753449,7,6,0.9999629324542358,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-16,Cayman Islands,0.1257081411141037,10,7,0.995466950080303,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-16,China,0.2394435926611776,10,7,0.769451275802352,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-16,Denmark,0.1961168064000493,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-16,France,0.0591989443282038,8,2,0.2076549866609246,Partial ADR estimate,partial_adr_estimate
2026-06-16,Germany,0.0100981500999877,6,2,0.5128440416801684,Partial ADR estimate,partial_adr_estimate
2026-06-16,Greece,0.1350003948077369,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-16,Hong Kong,0.3110647885204525,10,7,0.9666847943174404,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-16,Ireland,0.0923692319158695,8,6,0.9628602070868107,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-16,Israel,0.055733721209661,10,10,1.0,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-16,Japan,0.0972348321833787,7,5,0.6220640870516793,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-16,Jersey,0.240450804432899,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-16,Luxembourg,0.1054362045771013,3,3,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-16,Malaysia,0.0176646611714794,7,3,0.8266544604936893,Partial ADR estimate,partial_adr_estimate
2026-06-16,Netherlands,0.0459197608989013,5,3,0.9780410367067236,Partial ADR estimate,partial_adr_estimate
2026-06-16,Singapore,0.1334529051247065,10,5,0.7346396259058094,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-16,South Korea,0.1370390827717664,2,2,1.0,Partial ADR estimate,partial_adr_estimate
2026-06-16,Taiwan,0.1585498103612248,9,4,0.939277379181943,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-16,United Arab Emirates,0.3117464560081179,5,3,0.9772724785842446,Partial ADR estimate,partial_adr_estimate
2026-06-16,United Kingdom,0.0425821752614192,10,8,0.9894432626074532,ADR Top-10 ICC calculation,adr_top10_icc_calculation
2026-06-16,United States,0.1144819745073995,10,9,0.9756337779763732,ADR Top-10 ICC calculation,adr_top10_icc_calculation
