date,ticker,label,category,vw_icc,coverage_weight,n_items,n_matched,source,status,country
2026-04-15,EWG,iShares MSCI Germany ETF,,0.0573394495412844,,,,official_page_pe_ratio_proxy,ok_page_proxy,Germany
2026-04-15,EWJ,iShares MSCI Japan ETF,,0.0502765208647561,,,,official_page_pe_ratio_proxy,ok_page_proxy,Japan
2026-04-15,INDA,iShares MSCI India ETF,,0.041649312786339,,,,official_page_pe_ratio_proxy,ok_page_proxy,India
2026-04-15,MCHI,iShares MSCI China ETF,,0.0712758374910905,,,,official_page_pe_ratio_proxy,ok_page_proxy,China
2026-04-16,EWA,iShares MSCI Australia ETF,,0.0457663599862884,,,,yfinance_pe_ratio_proxy,ok_yfinance_proxy,
2026-04-16,EWC,iShares MSCI Canada ETF,,0.0497017892644135,,,,official_page_pe_ratio_proxy,ok_page_proxy,
2026-04-16,EWG,iShares MSCI Germany ETF,,0.0573394495412844,,,,official_page_pe_ratio_proxy,ok_page_proxy,Germany
2026-04-16,EWH,iShares MSCI Hong Kong ETF,,0.0542955960842016,,,,yfinance_pe_ratio_proxy,ok_yfinance_proxy,
2026-04-16,EWJ,iShares MSCI Japan ETF,,0.0500751126690035,,,,official_page_pe_ratio_proxy,ok_page_proxy,Japan
2026-04-16,EWQ,iShares MSCI France ETF,,0.0529582224763275,,,,yfinance_pe_ratio_proxy,ok_yfinance_proxy,
2026-04-16,EWU,iShares MSCI United Kingdom ETF,,0.0576036866359447,,,,official_page_pe_ratio_proxy,ok_page_proxy,
2026-04-16,EWZ,iShares MSCI Brazil ETF,,0.0819000819000819,,,,official_page_pe_ratio_proxy,ok_page_proxy,
2026-04-16,INDA,iShares MSCI India ETF,,0.041649312786339,,,,official_page_pe_ratio_proxy,ok_page_proxy,India
2026-04-16,MCHI,iShares MSCI China ETF,,0.0712758374910905,,,,official_page_pe_ratio_proxy,ok_page_proxy,China
2026-04-17,EWG,iShares MSCI Germany ETF,,0.057045065601825436,,,,official_page_pe_ratio_proxy,ok_page_proxy,Germany
2026-04-17,EWJ,iShares MSCI Japan ETF,,0.04918839153959666,,,,official_page_pe_ratio_proxy,ok_page_proxy,Japan
2026-04-17,INDA,iShares MSCI India ETF,,0.04084967320261438,,,,official_page_pe_ratio_proxy,ok_page_proxy,India
2026-04-17,MCHI,iShares MSCI China ETF,,0.06925207756232687,,,,official_page_pe_ratio_proxy,ok_page_proxy,China
