date,value_icc,growth_icc,ivp_bm,n_items,source_file
2025-10-28,0.13703392350540822,0.07253045783214118,0.06450346567326704,3003,data/202510/icc_live_usall_2025_1028.csv
2025-10-29,0.13814196297297154,0.07362472343257265,0.0645172395403989,3002,data/202510/icc_live_usall_2025_1029.csv
2025-10-30,0.13859283266878347,0.07443585532095495,0.06415697734782852,3002,data/202510/icc_live_usall_2025_1030.csv
2025-11-01,0.1381833914716319,0.07448500746144669,0.0636983840101852,3003,data/202510/icc_live_usall_2025_1031.csv
2025-11-03,0.13867870688634507,0.07342234602129526,0.06525636086504981,3000,data/202511/icc_live_usall_2025_1103.csv
2025-11-04,0.14030464019120725,0.07473488273757722,0.06556975745363003,2998,data/202511/icc_live_usall_2025_1104.csv
2025-11-05,0.13873369508570066,0.07459613337078072,0.06413756171491994,2997,data/202511/icc_live_usall_2025_1105.csv
2025-11-06,0.14034900084994598,0.07536714145455545,0.06498185939539053,3004,data/202511/icc_live_usall_2025_1106.csv
2025-11-07,0.13994299542808403,0.07327369299038433,0.0666693024376997,2997,data/202511/icc_live_usall_2025_1107.csv
2025-11-10,0.13922999700973956,0.07136788940707472,0.06786210760266484,3002,data/202511/icc_live_usall_2025_1110.csv
2025-11-11,0.14081618826014727,0.07107251046154148,0.0697436777986058,3002,data/202511/icc_live_usall_2025_1111.csv
2025-11-12,0.13961976084494232,0.07219765541335228,0.06742210543159004,3002,data/202511/icc_live_usall_2025_1112.csv
2025-11-13,0.14021204327223233,0.0720557006457101,0.06815634262652223,3000,data/202511/icc_live_usall_2025_1113.csv
2025-11-14,0.1404840606308967,0.07246636314731972,0.06801769748357697,3001,data/202511/icc_live_usall_2025_1114.csv
2025-11-17,0.1411890537587201,0.07320556332988629,0.06798349042883381,3012,data/202511/icc_live_usall_2025_1117.csv
2025-11-18,0.14148959647921394,0.07347227096479816,0.06801732551441578,3012,data/202511/icc_live_usall_2025_1118.csv
2025-11-19,0.14227235616318873,0.07358169469606429,0.06869066146712444,3015,data/202511/icc_live_usall_2025_1119.csv
2025-11-20,0.1428588589399571,0.07279346921881341,0.07006538972114368,3014,data/202511/icc_live_usall_2025_1120.csv
2025-11-25,0.13999360930182092,0.07269831555197745,0.06729529374984347,3011,data/202511/icc_live_usall_2025_1124.csv
2025-11-26,0.1400711182797526,0.07182213025352793,0.06824898802622467,3016,data/202511/icc_live_usall_2025_1126.csv
2025-11-27,0.14019496971906847,0.07175842271184413,0.06843654700722435,3015,data/202511/icc_live_usall_2025_1127.csv
2025-11-28,0.13875174345097113,0.07227157546386505,0.06648016798710608,3015,data/202511/icc_live_usall_2025_1128.csv
2025-12-01,0.13758576884427576,0.072912395271837,0.06467337357243876,3011,data/202512/icc_live_usall_2025_1201.csv
2025-12-02,0.13796265313881445,0.0723111121667541,0.06565154097206036,3010,data/202512/icc_live_usall_2025_1202.csv
2025-12-03,0.13748964980424289,0.07238205840992246,0.06510759139432043,3012,data/202512/icc_live_usall_2025_1203.csv
2025-12-04,0.13621594673154244,0.07232669890440924,0.0638892478271332,3014,data/202512/icc_live_usall_2025_1204.csv
2025-12-05,0.13724735712353586,0.07301553790431778,0.06423181921921808,3016,data/202512/icc_live_usall_2025_1205.csv
2025-12-08,0.13518097636265963,0.07407850974890491,0.06110246661375472,3015,data/202512/icc_live_usall_2025_1208.csv
2025-12-09,0.12498133220079938,0.0740224302160901,0.05095890198470927,3015,data/202512/icc_live_usall_2025_1209.csv
2025-12-10,0.12080185799682665,0.0705648357282492,0.050237022268577444,3026,data/202512/icc_live_usall_2025_1210.csv
2025-12-11,0.12192042382605142,0.07017125115437618,0.05174917267167524,3028,data/202512/icc_live_usall_2025_1211.csv
2025-12-12,0.12223775696570544,0.07139496458664188,0.050842792379063556,3022,data/202512/icc_live_usall_2025_1212.csv
2025-12-15,0.12155654739495544,0.07152742752747072,0.05002911986748472,3023,data/202512/icc_live_usall_2025_1215.csv
2025-12-16,0.12239686527164928,0.07281705431361576,0.049579810958033516,3022,data/202512/icc_live_usall_2025_1216.csv
2025-12-17,0.12158453881845194,0.07381260510336576,0.04777193371508617,3019,data/202512/icc_live_usall_2025_1217.csv
2025-12-18,0.12162868937766504,0.07230643622160651,0.049322253156058524,3017,data/202512/icc_live_usall_2025_1218.csv
2025-12-19,0.12235652159655153,0.07134957295858683,0.05100694863796469,3017,data/202512/icc_live_usall_2025_1219.csv
2025-12-22,0.12251744730098621,0.07117253910741286,0.051344908193573346,3018,data/202512/icc_live_usall_2025_1222.csv
2025-12-23,0.12305862027773476,0.07130130357530233,0.05175731670243243,3019,data/202512/icc_live_usall_2025_1223.csv
2025-12-24,0.12317099341526175,0.07129802561093357,0.05187296780432818,3018,data/202512/icc_live_usall_2025_1224.csv
2025-12-25,0.12321768150003906,0.07124924545556649,0.05196843604447257,3014,data/202512/icc_live_usall_2025_1225.csv
2025-12-26,0.12306492662033988,0.07162683914258766,0.05143808747775222,3013,data/202512/icc_live_usall_2025_1226.csv
2025-12-29,0.1235272849778464,0.07141391368335995,0.052113371294486455,3013,data/202512/icc_live_usall_2025_1229.csv
2025-12-30,0.12294888665213016,0.07169342481601701,0.05125546183611315,3013,data/202512/icc_live_usall_2025_1230.csv
2025-12-31,0.12335720881964772,0.07207205851171125,0.05128515030793647,3014,data/202512/icc_live_usall_2025_1231.csv
2026-01-01,0.12353100987545731,0.07162522337633698,0.05190578649912034,3015,data/202601/icc_live_usall_2026_0101.csv
2026-01-02,0.12127295431703998,0.07164278478926316,0.049630169527776824,3016,data/202601/icc_live_usall_2026_0102.csv
2026-01-06,0.11741555462085362,0.0712333467076324,0.046182207913221224,3090,data/202601/icc_live_usall_2026_0106_r1.csv
2026-01-07,0.11836525323549847,0.0723759156397008,0.045989337595797666,3089,data/202601/icc_live_usall_2026_0107_r1.csv
2026-01-08,0.11753862468911891,0.07190040388344301,0.045638220805675894,3090,data/202601/icc_live_usall_2026_0108_r1.csv
2026-01-09,0.11765283752215999,0.07201023112379523,0.04564260639836476,3089,data/202601/icc_live_usall_2026_0109_r1.csv
2026-01-12,0.11601109485895372,0.07098443460501538,0.04502666025393834,3088,data/202601/icc_live_usall_2026_0112_r1.csv
2026-01-13,0.11734334023096238,0.0717479450878277,0.04559539514313468,3090,data/202601/icc_live_usall_2026_0113_r1.csv
2026-01-14,0.11813395206376089,0.07272934335636265,0.045404608707398236,3090,data/202601/icc_live_usall_2026_0114_r1.csv
2026-01-15,0.11771159128064826,0.07251747419741911,0.04519411708322915,3088,data/202601/icc_live_usall_2026_0115_r1.csv
2026-01-16,0.11752215615800654,0.07205305344220034,0.0454691027158062,3088,data/202601/icc_live_usall_2026_0116_r1.csv
2026-01-19,0.11749203524268087,0.07229931725817387,0.045192717984507,3088,data/202601/icc_live_usall_2026_0119_r1.csv
2026-01-20,0.1174530566774034,0.07306963433677996,0.04438342234062344,3090,data/202601/icc_live_usall_2026_0120_r1.csv
2026-01-21,0.11528100386569615,0.07008412362144197,0.04519688024425418,2544,data/202601/icc_live_usall_2026_0121_r1.csv
2026-01-22,0.11543037469108691,0.07050062873557594,0.04492974595551097,2542,data/202601/icc_live_usall_2026_0122_r1.csv
2026-01-23,0.11744310558428908,0.07121360661343537,0.04622949897085371,2543,data/202601/icc_live_usall_2026_0123_r1.csv
2026-01-26,0.11665641580682866,0.07127904040826277,0.045377375398565886,2543,data/202601/icc_live_usall_2026_0126_r1.csv
2026-01-27,0.11668353315802024,0.07130469392669907,0.045378839231321175,2542,data/202601/icc_live_usall_2026_0127_r1.csv
2026-01-28,0.1167643442416901,0.07164459193413353,0.045119752307556577,2543,data/202601/icc_live_usall_2026_0128_r1.csv
2026-01-29,0.11553096147051387,0.07148514885090612,0.044045812619607744,2545,data/202601/icc_live_usall_2026_0129_r1.csv
2026-01-30,0.11549036213263505,0.07169115614545538,0.04379920598717968,2545,data/202601/icc_live_usall_2026_0130_r1.csv
2026-02-03,0.11714728274387264,0.07225741182082479,0.044889870923047845,2540,data/202602/icc_live_usall_2026_0203_r1.csv
2026-02-04,0.11591799545810907,0.07414215035386093,0.041775845104248144,2544,data/202602/icc_live_usall_2026_0204_r1.csv
2026-02-05,0.1151515068598059,0.07559974105997944,0.03955176579982646,2543,data/202602/icc_live_usall_2026_0205_r1.csv
2026-02-06,0.11393375698212939,0.0752109836330194,0.03872277334910999,2541,data/202602/icc_live_usall_2026_0206_r1.csv
2026-02-09,0.11488004492119902,0.07462281576012028,0.04025722916107874,2537,data/202602/icc_live_usall_2026_0209_r1.csv
2026-02-10,0.1152773630978873,0.07469180092280656,0.04058556217508075,2540,data/202602/icc_live_usall_2026_0210_r1.csv
2026-02-11,0.11609926195821692,0.07470077000156183,0.041398491956655084,2534,data/202602/icc_live_usall_2026_0211_r1.csv
2026-02-12,0.11683213493809,0.07575644904724055,0.04107568589084945,2535,data/202602/icc_live_usall_2026_0212_r1.csv
2026-02-13,0.11706387037449859,0.07563402395315402,0.04142984642134456,2536,data/202602/icc_live_usall_2026_0213_r1.csv
2026-02-16,0.11863341313522946,0.07568752737864046,0.042945885756589,2533,data/202602/icc_live_usall_2026_0216_r1.csv
2026-02-17,0.1186110872594894,0.0758044878115281,0.04280659944796131,2535,data/202602/icc_live_usall_2026_0217_r1.csv
2026-02-18,0.117659847647925,0.075414133525527,0.042245714122398,2540,data/202602/icc_live_usall_2026_0218_r1.csv
2026-02-19,0.11765645797232135,0.07529056955473984,0.042365888417581515,2544,data/202602/icc_live_usall_2026_0219_r1.csv
2026-02-20,0.11762801766803829,0.07457869010277887,0.04304932756525942,2545,data/202602/icc_live_usall_2026_0220_r1.csv
2026-02-23,0.11989251779428481,0.0770623264612011,0.0428301913330837,2539,data/202602/icc_live_usall_2026_0223_r1.csv
2026-02-24,0.12069145811668106,0.07665745770382729,0.04403400041285377,2541,data/202602/icc_live_usall_2026_0224_r1.csv
2026-02-25,0.11992615987134664,0.0765861347829773,0.043340025088369344,2544,data/202602/icc_live_usall_2026_0225_r1.csv
2026-02-26,0.11967029714170815,0.07877631572699574,0.04089398141471241,2546,data/202602/icc_live_usall_2026_0226_r1.csv
2026-02-27,0.1208263678209743,0.07824383677333123,0.04258253104764308,2547,data/202602/icc_live_usall_2026_0227_r1.csv
2026-03-02,0.11785176717427398,0.0788940275019947,0.03895773967227928,2545,data/202603/icc_live_usall_2026_0302_r1.csv
2026-03-03,0.11913224852272924,0.0799594220892687,0.03917282643346054,2543,data/202603/icc_live_usall_2026_0303_r1.csv
2026-03-04,0.11823347198672485,0.07927680435296466,0.038956667633760184,2542,data/202603/icc_live_usall_2026_0304_r1.csv
2026-03-05,0.11919943769444517,0.08137529159494225,0.03782414609950292,2546,data/202603/icc_live_usall_2026_0305_r1.csv
2026-03-06,0.12152071429275758,0.08161057415929435,0.03991014013346324,2548,data/202603/icc_live_usall_2026_0306_r1.csv
2026-03-09,0.12066219437017218,0.08245993334576923,0.03820226102440295,2549,data/202603/icc_live_usall_2026_0309_r1.csv
2026-03-10,0.1205892322482676,0.08289188991416696,0.037697342334100645,2553,data/202603/icc_live_usall_2026_0310_r1.csv
2026-03-11,0.12116027074389377,0.08351793155114214,0.03764233919275163,2554,data/202603/icc_live_usall_2026_0311_r1.csv
2026-03-12,0.1232509608216939,0.08383867234367959,0.03941228847801431,2555,data/202603/icc_live_usall_2026_0312_r1.csv
2026-03-13,0.12356288590744066,0.08375814701937143,0.039804738888069235,2559,data/202603/icc_live_usall_2026_0313_r1.csv
2026-03-16,0.12275805177382265,0.08385780276626699,0.03890024900755566,2559,data/202603/icc_live_usall_2026_0316_r1.csv
2026-03-17,0.12370098136851178,0.08242140025544192,0.041279581113069855,2564,data/202603/icc_live_usall_2026_0317_r1.csv
2026-03-18,0.12293905362624691,0.08350817405420644,0.03943087957204047,2569,data/202603/icc_live_usall_2026_0318_r1.csv
2026-03-19,0.1234552174324222,0.08263651536794572,0.04081870206447648,2569,data/202603/icc_live_usall_2026_0319_r1.csv
2026-03-20,0.12493935495820904,0.08536838657743721,0.03957096838077183,2570,data/202603/icc_live_usall_2026_0320_r1.csv
2026-03-23,0.12362701311795421,0.08521016250201341,0.0384168506159408,2568,data/202603/icc_live_usall_2026_0323_r1.csv
