date,vw_icc,ew_icc,n_firms,source_file
2025-10-28,0.07269628690478976,0.10397197536862642,3182,data/202510/icc_live_usall_2025_1028.csv
2025-10-29,0.07303142540019729,0.10482534412677287,3181,data/202510/icc_live_usall_2025_1029.csv
2025-10-30,0.07395380198937707,0.10523527285672828,3179,data/202510/icc_live_usall_2025_1030.csv
2025-11-01,0.07386490949089841,0.1047247854147939,3180,data/202510/icc_live_usall_2025_1031.csv
2025-11-03,0.07419815040449596,0.10495163233057424,3179,data/202511/icc_live_usall_2025_1103.csv
2025-11-04,0.07472731262019144,0.10549342837549767,3176,data/202511/icc_live_usall_2025_1104.csv
2025-11-05,0.07442837098529918,0.10474899800104129,3175,data/202511/icc_live_usall_2025_1105.csv
2025-11-06,0.07504567824091135,0.1052244237464618,3183,data/202511/icc_live_usall_2025_1106.csv
2025-11-07,0.07503593650992313,0.10464095317735167,3177,data/202511/icc_live_usall_2025_1107.csv
2025-11-10,0.0742410446272243,0.10365674904434102,3182,data/202511/icc_live_usall_2025_1110.csv
2025-11-11,0.07441450879538435,0.10350947351606728,3180,data/202511/icc_live_usall_2025_1111.csv
2025-11-12,0.07444105800757969,0.10367372811141876,3180,data/202511/icc_live_usall_2025_1112.csv
2025-11-13,0.0753770185257141,0.10466862274858404,3177,data/202511/icc_live_usall_2025_1113.csv
2025-11-14,0.07559675602209201,0.10523967906500992,3178,data/202511/icc_live_usall_2025_1114.csv
2025-11-17,0.07601520806833256,0.10617017777479275,3187,data/202511/icc_live_usall_2025_1117.csv
2025-11-18,0.07629529848339628,0.10584264438798748,3187,data/202511/icc_live_usall_2025_1118.csv
2025-11-19,0.07599215661156775,0.10599206274462564,3191,data/202511/icc_live_usall_2025_1119.csv
2025-11-20,0.07759747697342051,0.1070743169452182,3190,data/202511/icc_live_usall_2025_1120.csv
2025-11-25,0.0763255195943697,0.10510987484061618,3186,data/202511/icc_live_usall_2025_1124.csv
2025-11-26,0.07569571790870135,0.10334451310875786,3190,data/202511/icc_live_usall_2025_1126.csv
2025-11-27,0.0756675748237738,0.103207171499216,3189,data/202511/icc_live_usall_2025_1127.csv
2025-11-28,0.07539068714702347,0.10291966516605518,3189,data/202511/icc_live_usall_2025_1128.csv
2025-12-01,0.0756695106214855,0.10349665482529359,3185,data/202512/icc_live_usall_2025_1201.csv
2025-12-02,0.07559060667262835,0.10364306811874928,3186,data/202512/icc_live_usall_2025_1202.csv
2025-12-03,0.07529966277774987,0.10253610461038988,3188,data/202512/icc_live_usall_2025_1203.csv
2025-12-04,0.0753210781161116,0.10247891365710306,3190,data/202512/icc_live_usall_2025_1204.csv
2025-12-05,0.07531879922144602,0.10266564517204926,3192,data/202512/icc_live_usall_2025_1205.csv
2025-12-08,0.07563049794168546,0.10278156482904316,3191,data/202512/icc_live_usall_2025_1208.csv
