date,bucket,vw_icc,n_items
2026-04-16,B/H,0.11437952963643773,183.0
2026-04-16,B/L,0.07428029756201956,550.0
2026-04-16,B/M,0.09209614995282182,554.0
2026-04-16,S/H,0.12971355188324005,590.0
2026-04-16,S/L,0.09075662157206904,223.0
2026-04-16,S/M,0.1045251643787201,475.0
