date,yyyymm,universe,n_items,download_path
2025-12-17,202512,sp500,501,./data/downloads/raw/202512/icc_live_sp500_2025_1217.csv
2025-12-17,202512,usall,3205,./data/downloads/raw/202512/icc_live_usall_2025_1217.csv
2025-12-18,202512,sp500,501,./data/downloads/raw/202512/icc_live_sp500_2025_1218.csv
2025-12-18,202512,usall,3202,./data/downloads/raw/202512/icc_live_usall_2025_1218.csv
2025-12-19,202512,sp500,501,./data/downloads/raw/202512/icc_live_sp500_2025_1219.csv
2025-12-19,202512,usall,3202,./data/downloads/raw/202512/icc_live_usall_2025_1219.csv
2025-12-22,202512,sp500,501,./data/downloads/raw/202512/icc_live_sp500_2025_1222.csv
2025-12-22,202512,usall,3203,./data/downloads/raw/202512/icc_live_usall_2025_1222.csv
2025-12-23,202512,sp500,499,./data/downloads/raw/202512/icc_live_sp500_2025_1223.csv
2025-12-23,202512,usall,3203,./data/downloads/raw/202512/icc_live_usall_2025_1223.csv
2025-12-24,202512,sp500,499,./data/downloads/raw/202512/icc_live_sp500_2025_1224.csv
2025-12-24,202512,usall,3202,./data/downloads/raw/202512/icc_live_usall_2025_1224.csv
2025-12-25,202512,sp500,499,./data/downloads/raw/202512/icc_live_sp500_2025_1225.csv
2025-12-25,202512,usall,3198,./data/downloads/raw/202512/icc_live_usall_2025_1225.csv
2025-12-26,202512,sp500,499,./data/downloads/raw/202512/icc_live_sp500_2025_1226.csv
2025-12-26,202512,usall,3197,./data/downloads/raw/202512/icc_live_usall_2025_1226.csv
2025-12-29,202512,sp500,499,./data/downloads/raw/202512/icc_live_sp500_2025_1229.csv
2025-12-29,202512,usall,3197,./data/downloads/raw/202512/icc_live_usall_2025_1229.csv
2025-12-30,202512,sp500,499,./data/downloads/raw/202512/icc_live_sp500_2025_1230.csv
2025-12-30,202512,usall,3197,./data/downloads/raw/202512/icc_live_usall_2025_1230.csv
2025-12-31,202512,sp500,499,./data/downloads/raw/202512/icc_live_sp500_2025_1231.csv
2025-12-31,202512,usall,3197,./data/downloads/raw/202512/icc_live_usall_2025_1231.csv
2026-01-01,202601,sp500,500,./data/downloads/raw/202601/icc_live_sp500_2026_0101.csv
2026-01-01,202601,usall,3198,./data/downloads/raw/202601/icc_live_usall_2026_0101.csv
2026-01-02,202601,sp500,501,./data/downloads/raw/202601/icc_live_sp500_2026_0102.csv
2026-01-02,202601,usall,3200,./data/downloads/raw/202601/icc_live_usall_2026_0102.csv
2026-01-05,202601,sp500,497,./data/downloads/raw/202601/icc_live_sp500_2026_0105_r1.csv
2026-01-06,202601,sp500,497,./data/downloads/raw/202601/icc_live_sp500_2026_0106_r1.csv
2026-01-06,202601,usall,3277,./data/downloads/raw/202601/icc_live_usall_2026_0106_r1.csv
2026-01-07,202601,sp500,497,./data/downloads/raw/202601/icc_live_sp500_2026_0107_r1.csv
2026-01-07,202601,usall,3276,./data/downloads/raw/202601/icc_live_usall_2026_0107_r1.csv
2026-01-08,202601,sp500,497,./data/downloads/raw/202601/icc_live_sp500_2026_0108_r1.csv
2026-01-08,202601,usall,3276,./data/downloads/raw/202601/icc_live_usall_2026_0108_r1.csv
2026-01-09,202601,sp500,497,./data/downloads/raw/202601/icc_live_sp500_2026_0109_r1.csv
2026-01-09,202601,usall,3276,./data/downloads/raw/202601/icc_live_usall_2026_0109_r1.csv
2026-01-12,202601,sp500,496,./data/downloads/raw/202601/icc_live_sp500_2026_0112_r1.csv
2026-01-12,202601,usall,3277,./data/downloads/raw/202601/icc_live_usall_2026_0112_r1.csv
2026-01-13,202601,sp500,496,./data/downloads/raw/202601/icc_live_sp500_2026_0113_r1.csv
2026-01-13,202601,usall,3278,./data/downloads/raw/202601/icc_live_usall_2026_0113_r1.csv
2026-01-14,202601,sp500,496,./data/downloads/raw/202601/icc_live_sp500_2026_0114_r1.csv
2026-01-14,202601,usall,3279,./data/downloads/raw/202601/icc_live_usall_2026_0114_r1.csv
2026-01-15,202601,sp500,496,./data/downloads/raw/202601/icc_live_sp500_2026_0115_r1.csv
2026-01-15,202601,usall,3277,./data/downloads/raw/202601/icc_live_usall_2026_0115_r1.csv
2026-01-16,202601,sp500,496,./data/downloads/raw/202601/icc_live_sp500_2026_0116_r1.csv
2026-01-16,202601,usall,3277,./data/downloads/raw/202601/icc_live_usall_2026_0116_r1.csv
2026-01-19,202601,sp500,496,./data/downloads/raw/202601/icc_live_sp500_2026_0119_r1.csv
2026-01-19,202601,usall,3277,./data/downloads/raw/202601/icc_live_usall_2026_0119_r1.csv
2026-01-20,202601,sp500,496,./data/downloads/raw/202601/icc_live_sp500_2026_0120_r1.csv
2026-01-20,202601,usall,3281,./data/downloads/raw/202601/icc_live_usall_2026_0120_r1.csv
2026-01-21,202601,sp500,495,./data/downloads/raw/202601/icc_live_sp500_2026_0121_r1.csv
2026-01-21,202601,usall,2684,./data/downloads/raw/202601/icc_live_usall_2026_0121_r1.csv
2026-01-22,202601,sp500,495,./data/downloads/raw/202601/icc_live_sp500_2026_0122_r1.csv
2026-01-22,202601,usall,2685,./data/downloads/raw/202601/icc_live_usall_2026_0122_r1.csv
2026-01-23,202601,sp500,495,./data/downloads/raw/202601/icc_live_sp500_2026_0123_r1.csv
2026-01-23,202601,usall,2686,./data/downloads/raw/202601/icc_live_usall_2026_0123_r1.csv
2026-01-26,202601,sp500,495,./data/downloads/raw/202601/icc_live_sp500_2026_0126_r1.csv
2026-01-26,202601,usall,2686,./data/downloads/raw/202601/icc_live_usall_2026_0126_r1.csv
2026-01-27,202601,sp500,495,./data/downloads/raw/202601/icc_live_sp500_2026_0127_r1.csv
2026-01-27,202601,usall,2685,./data/downloads/raw/202601/icc_live_usall_2026_0127_r1.csv
2026-01-28,202601,sp500,495,./data/downloads/raw/202601/icc_live_sp500_2026_0128_r1.csv
2026-01-28,202601,usall,2685,./data/downloads/raw/202601/icc_live_usall_2026_0128_r1.csv
2026-01-29,202601,sp500,497,./data/downloads/raw/202601/icc_live_sp500_2026_0129_r1.csv
2026-01-29,202601,usall,2686,./data/downloads/raw/202601/icc_live_usall_2026_0129_r1.csv
2026-01-30,202601,sp500,497,./data/downloads/raw/202601/icc_live_sp500_2026_0130_r1.csv
