group,month,month_end_date,daily_icc,ew_icc,n_firms,method,source_file
Healthcare,2026-01,2026-01-30,0.08316205158608093,0.08424773000277863,252,ICC calculation,data/202601/icc_live_usall_2026_0130_r1.csv
Healthcare,2026-02,2026-02-27,0.08571863872683104,0.09536333027280085,255,ICC calculation,data/202602/icc_live_usall_2026_0227_r1.csv
Healthcare,2026-03,2026-03-31,0.09070327047341153,0.10180228537337845,259,ICC calculation,data/202603/icc_live_usall_2026_0331_r1.csv
Healthcare,2026-04,2026-04-23,0.09469112918824385,0.09957555100017018,256,ICC calculation,data/202604/icc_live_usall_2026_0423_r1.csv
Industrials,2025-10,2025-10-30,0.06594072786373502,0.09298896221000995,435,ICC calculation,data/202510/icc_live_usall_2025_1030.csv
Industrials,2025-11,2025-11-28,0.0681235266611869,0.0933193350811759,434,ICC calculation,data/202511/icc_live_usall_2025_1128.csv
Industrials,2025-12,2025-12-31,0.06786118080699546,0.09060311993318011,429,ICC calculation,data/202512/icc_live_usall_2025_1231.csv
Industrials,2026-01,2026-01-30,0.06763859346282759,0.08833375718686237,377,ICC calculation,data/202601/icc_live_usall_2026_0130_r1.csv
Industrials,2026-02,2026-02-27,0.06700364862649147,0.09143839681541081,378,ICC calculation,data/202602/icc_live_usall_2026_0227_r1.csv
Industrials,2026-03,2026-03-31,0.07174656795159687,0.0947909524061731,387,ICC calculation,data/202603/icc_live_usall_2026_0331_r1.csv
Industrials,2026-04,2026-04-23,0.06704624781281912,0.08875836945778483,383,ICC calculation,data/202604/icc_live_usall_2026_0423_r1.csv
Real Estate,2025-10,2025-10-30,0.06977424493443453,0.09308062511389648,183,ICC calculation,data/202510/icc_live_usall_2025_1030.csv
Real Estate,2025-11,2025-11-28,0.06406659000291177,0.09187925236047241,180,ICC calculation,data/202511/icc_live_usall_2025_1128.csv
Real Estate,2025-12,2025-12-31,0.06678382576267076,0.09186071653845812,174,ICC calculation,data/202512/icc_live_usall_2025_1231.csv
Real Estate,2026-01,2026-01-30,0.06222909645066061,0.08887151094375614,166,ICC calculation,data/202601/icc_live_usall_2026_0130_r1.csv
Real Estate,2026-02,2026-02-27,0.05911652928302005,0.08974068412415459,164,ICC calculation,data/202602/icc_live_usall_2026_0227_r1.csv
Real Estate,2026-03,2026-03-31,0.06128118442317076,0.09627770194846573,164,ICC calculation,data/202603/icc_live_usall_2026_0331_r1.csv
Real Estate,2026-04,2026-04-23,0.05712295038769757,0.093378901443781,164,ICC calculation,data/202604/icc_live_usall_2026_0423_r1.csv
Technology,2025-10,2025-10-30,0.06523833050258772,0.08436455020629455,490,ICC calculation,data/202510/icc_live_usall_2025_1030.csv
Technology,2025-11,2025-11-28,0.07337608840342255,0.08448290731117054,486,ICC calculation,data/202511/icc_live_usall_2025_1128.csv
Technology,2025-12,2025-12-31,0.07653995041078078,0.0825558864298037,492,ICC calculation,data/202512/icc_live_usall_2025_1231.csv
Technology,2026-01,2026-01-30,0.06984434729169631,0.08579016407995477,366,ICC calculation,data/202601/icc_live_usall_2026_0130_r1.csv
Technology,2026-02,2026-02-27,0.0741914127113329,0.09629260450384003,368,ICC calculation,data/202602/icc_live_usall_2026_0227_r1.csv
Technology,2026-03,2026-03-31,0.0842497910540855,0.10123297957283733,373,ICC calculation,data/202603/icc_live_usall_2026_0331_r1.csv
Technology,2026-04,2026-04-23,0.08163783576848077,0.09592793512975839,377,ICC calculation,data/202604/icc_live_usall_2026_0423_r1.csv
Unknown,2025-10,2025-10-30,0.16146902856350498,0.141541629694048,2,ICC calculation,data/202510/icc_live_usall_2025_1030.csv
Unknown,2025-11,2025-11-28,0.13764317279828903,0.1224980507896094,2,ICC calculation,data/202511/icc_live_usall_2025_1128.csv
Unknown,2025-12,2025-12-31,0.08290261249518865,0.10563229230653788,3,ICC calculation,data/202512/icc_live_usall_2025_1231.csv
Unknown,2026-01,2026-01-30,0.08511509796926839,0.10494775569776306,3,ICC calculation,data/202601/icc_live_usall_2026_0130_r1.csv
Unknown,2026-02,2026-02-27,0.1104071832065812,0.07480942122637534,3,ICC calculation,data/202602/icc_live_usall_2026_0227_r1.csv
Unknown,2026-03,2026-03-31,0.12471614147039445,0.1253191111589044,2,ICC calculation,data/202603/icc_live_usall_2026_0331_r1.csv
Unknown,2026-04,2026-04-23,0.1187372219802052,0.1223057622584114,2,ICC calculation,data/202604/icc_live_usall_2026_0423_r1.csv
Utilities,2025-10,2025-10-30,0.0825975970049667,0.09587789101667325,91,ICC calculation,data/202510/icc_live_usall_2025_1030.csv
Utilities,2025-11,2025-11-28,0.08068714200641974,0.08782802323466223,92,ICC calculation,data/202511/icc_live_usall_2025_1128.csv
Utilities,2025-12,2025-12-31,0.08348774325238971,0.09188266589248327,90,ICC calculation,data/202512/icc_live_usall_2025_1231.csv
Utilities,2026-01,2026-01-30,0.08115716611461118,0.08451534689321648,81,ICC calculation,data/202601/icc_live_usall_2026_0130_r1.csv
Utilities,2026-02,2026-02-27,0.0749285882278573,0.08261290404745084,80,ICC calculation,data/202602/icc_live_usall_2026_0227_r1.csv
Utilities,2026-03,2026-03-31,0.07834984138646284,0.08736421035075508,80,ICC calculation,data/202603/icc_live_usall_2026_0331_r1.csv
Utilities,2026-04,2026-04-23,0.07704962579626305,0.0854050148122043,80,ICC calculation,data/202604/icc_live_usall_2026_0423_r1.csv
