date,family,value,method,n_firms,source_file,label
2026-01-19,all_market,0.07595289757283168,ICC calculation,3277,data/202601/icc_live_usall_2026_0119_r1.csv,all_market
2026-01-20,all_market,0.07707435572801603,ICC calculation,3281,data/202601/icc_live_usall_2026_0120_r1.csv,all_market
2026-01-21,all_market,0.07454266637212634,ICC calculation,2684,data/202601/icc_live_usall_2026_0121_r1.csv,all_market
2026-01-22,all_market,0.07444105364673041,ICC calculation,2685,data/202601/icc_live_usall_2026_0122_r1.csv,all_market
2026-01-23,all_market,0.0746841675495182,ICC calculation,2686,data/202601/icc_live_usall_2026_0123_r1.csv,all_market
2026-01-26,all_market,0.07447776461256914,ICC calculation,2686,data/202601/icc_live_usall_2026_0126_r1.csv,all_market
2026-01-27,all_market,0.07470858983330668,ICC calculation,2685,data/202601/icc_live_usall_2026_0127_r1.csv,all_market
2026-01-28,all_market,0.07510118634783204,ICC calculation,2685,data/202601/icc_live_usall_2026_0128_r1.csv,all_market
2026-01-29,all_market,0.07416483490613406,ICC calculation,2686,data/202601/icc_live_usall_2026_0129_r1.csv,all_market
2026-01-30,all_market,0.074875685540565,ICC calculation,2684,data/202601/icc_live_usall_2026_0130_r1.csv,all_market
2026-02-03,all_market,0.07637966668201339,ICC calculation,2679,data/202602/icc_live_usall_2026_0203_r1.csv,all_market
2026-02-04,all_market,0.07850459661039352,ICC calculation,2679,data/202602/icc_live_usall_2026_0204_r1.csv,all_market
2026-02-05,all_market,0.07980948498270742,ICC calculation,2680,data/202602/icc_live_usall_2026_0205_r1.csv,all_market
2026-02-06,all_market,0.0796548119442111,ICC calculation,2678,data/202602/icc_live_usall_2026_0206_r1.csv,all_market
2026-02-09,all_market,0.07934333400673704,ICC calculation,2675,data/202602/icc_live_usall_2026_0209_r1.csv,all_market
2026-02-10,all_market,0.07946229400597292,ICC calculation,2677,data/202602/icc_live_usall_2026_0210_r1.csv,all_market
2026-02-11,all_market,0.07980777619098484,ICC calculation,2670,data/202602/icc_live_usall_2026_0211_r1.csv,all_market
2026-02-12,all_market,0.08084736642824873,ICC calculation,2670,data/202602/icc_live_usall_2026_0212_r1.csv,all_market
2026-02-13,all_market,0.08035371665282101,ICC calculation,2671,data/202602/icc_live_usall_2026_0213_r1.csv,all_market
2026-02-16,all_market,0.08085063430364686,ICC calculation,2667,data/202602/icc_live_usall_2026_0216_r1.csv,all_market
2026-02-17,all_market,0.08107438547557203,ICC calculation,2669,data/202602/icc_live_usall_2026_0217_r1.csv,all_market
2026-02-18,all_market,0.08079543445140301,ICC calculation,2674,data/202602/icc_live_usall_2026_0218_r1.csv,all_market
2026-02-19,all_market,0.08065706186656438,ICC calculation,2677,data/202602/icc_live_usall_2026_0219_r1.csv,all_market
2026-02-20,all_market,0.08013869666476511,ICC calculation,2680,data/202602/icc_live_usall_2026_0220_r1.csv,all_market
2026-02-23,all_market,0.08063573243873495,ICC calculation,2675,data/202602/icc_live_usall_2026_0223_r1.csv,all_market
2026-02-24,all_market,0.08032221802077492,ICC calculation,2677,data/202602/icc_live_usall_2026_0224_r1.csv,all_market
2026-02-25,all_market,0.08027522556300863,ICC calculation,2681,data/202602/icc_live_usall_2026_0225_r1.csv,all_market
2026-02-26,all_market,0.08027617972937484,ICC calculation,2684,data/202602/icc_live_usall_2026_0226_r1.csv,all_market
2026-02-27,all_market,0.08042145131520971,ICC calculation,2686,data/202602/icc_live_usall_2026_0227_r1.csv,all_market
2026-03-02,all_market,0.07991778291584524,ICC calculation,2686,data/202603/icc_live_usall_2026_0302_r1.csv,all_market
2026-03-03,all_market,0.08062021306494623,ICC calculation,2685,data/202603/icc_live_usall_2026_0303_r1.csv,all_market
2026-03-04,all_market,0.08044246629288306,ICC calculation,2684,data/202603/icc_live_usall_2026_0304_r1.csv,all_market
2026-03-05,all_market,0.08167693412719437,ICC calculation,2689,data/202603/icc_live_usall_2026_0305_r1.csv,all_market
2026-03-06,all_market,0.08253483342005986,ICC calculation,2691,data/202603/icc_live_usall_2026_0306_r1.csv,all_market
2026-03-09,all_market,0.08237156345014156,ICC calculation,2692,data/202603/icc_live_usall_2026_0309_r1.csv,all_market
2026-03-10,all_market,0.08255741764762678,ICC calculation,2694,data/202603/icc_live_usall_2026_0310_r1.csv,all_market
2026-03-11,all_market,0.08255052197957262,ICC calculation,2696,data/202603/icc_live_usall_2026_0311_r1.csv,all_market
2026-03-12,all_market,0.0833429789696598,ICC calculation,2696,data/202603/icc_live_usall_2026_0312_r1.csv,all_market
2026-03-13,all_market,0.08358695434410436,ICC calculation,2700,data/202603/icc_live_usall_2026_0313_r1.csv,all_market
2026-03-16,all_market,0.0826270096119614,ICC calculation,2700,data/202603/icc_live_usall_2026_0316_r1.csv,all_market
2026-03-17,all_market,0.08243347893925357,ICC calculation,2703,data/202603/icc_live_usall_2026_0317_r1.csv,all_market
2026-03-18,all_market,0.08327348325183137,ICC calculation,2708,data/202603/icc_live_usall_2026_0318_r1.csv,all_market
2026-03-19,all_market,0.08364827189392098,ICC calculation,2709,data/202603/icc_live_usall_2026_0319_r1.csv,all_market
2026-03-20,all_market,0.08540220830829871,ICC calculation,2711,data/202603/icc_live_usall_2026_0320_r1.csv,all_market
2026-03-23,all_market,0.08428006017463553,ICC calculation,2709,data/202603/icc_live_usall_2026_0323_r1.csv,all_market
2026-03-24,all_market,0.08434569421901288,ICC calculation,2708,data/202603/icc_live_usall_2026_0324_r1.csv,all_market
2026-03-25,all_market,0.08406147179906223,ICC calculation,2711,data/202603/icc_live_usall_2026_0325_r1.csv,all_market
2026-03-26,all_market,0.0848440474575655,ICC calculation,2719,data/202603/icc_live_usall_2026_0326_r1.csv,all_market
2026-03-27,all_market,0.08564840296377041,ICC calculation,2721,data/202603/icc_live_usall_2026_0327_r1.csv,all_market
2026-03-30,all_market,0.08614369564235469,ICC calculation,2721,data/202603/icc_live_usall_2026_0330_r1.csv,all_market
2026-03-31,all_market,0.0846043873892946,ICC calculation,2721,data/202603/icc_live_usall_2026_0331_r1.csv,all_market
2026-04-01,all_market,0.08424483667643325,ICC calculation,2729,data/202604/icc_live_usall_2026_0401_r1.csv,all_market
2026-04-02,all_market,0.08421194385018924,ICC calculation,2728,data/202604/icc_live_usall_2026_0402_r1.csv,all_market
2026-04-03,all_market,0.08406764350186137,ICC calculation,2724,data/202604/icc_live_usall_2026_0403_r1.csv,all_market
2026-04-06,all_market,0.08384452822437223,ICC calculation,2726,data/202604/icc_live_usall_2026_0406_r1.csv,all_market
2026-04-07,all_market,0.08366881372504427,ICC calculation,2726,data/202604/icc_live_usall_2026_0407_r1.csv,all_market
2026-04-08,all_market,0.08229793048606057,ICC calculation,2724,data/202604/icc_live_usall_2026_0408_r1.csv,all_market
2026-04-09,all_market,0.08247046461939787,ICC calculation,2726,data/202604/icc_live_usall_2026_0409_r1.csv,all_market
2026-04-10,all_market,0.08271952705504597,ICC calculation,2721,data/202604/icc_live_usall_2026_0410_r1.csv,all_market
2026-04-13,all_market,0.08231517917655813,ICC calculation,2719,data/202604/icc_live_usall_2026_0413_r2.csv,all_market
2026-04-14,all_market,0.08192118984821269,ICC calculation,2721,data/202604/icc_live_usall_2026_0414_r1.csv,all_market
2026-04-15,all_market,0.08170929701047211,ICC calculation,2720,data/202604/icc_live_usall_2026_0415_r1.csv,all_market
2026-04-16,all_market,0.08165551595446656,ICC calculation,2724,data/202604/icc_live_usall_2026_0416_r1.csv,all_market
